region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.03679815502986738,0.7458907745853478,[-0.25  0.18],-0.08754039580607376,0.4400279060080623,[-0.3   0.13],82
FRONTAL_L/TEMPORAL_L,-0.026915145032679035,0.812664194585659,[-0.25  0.19],-0.06782498347567913,0.5499824682632616,[-0.28  0.15],82
FRONTAL_L/TEMPORAL_R,-0.022112978534776544,0.8456313843972609,[-0.24  0.2 ],-0.08181403589847581,0.47062604180641576,[-0.3   0.14],82
FRONTAL_L/PARIETAL_L,-0.03921569081763916,0.7298174901462269,[-0.26  0.18],-0.0730243382070241,0.5197503980632512,[-0.29  0.15],82
FRONTAL_L/PARIETAL_R,-0.030428156149866728,0.7887482932550868,[-0.25  0.19],-0.10835553325094008,0.3387041246801531,[-0.32  0.11],82
FRONTAL_L/OCCIPITAL_L,-0.06071508134644766,0.5926503226963713,[-0.28  0.16],-0.12971080352274264,0.25148012560361577,[-0.34  0.09],82
FRONTAL_L/OCCIPITAL_R,-0.018915803681994185,0.8677318552236278,[-0.24  0.2 ],-0.057469576273316905,0.6126093127462294,[-0.27  0.16],82
FRONTAL_R/TEMPORAL_L,-0.042008037228274904,0.7113964678809004,[-0.26  0.18],-0.09011501248430544,0.4266443458715352,[-0.3   0.13],82
FRONTAL_R/TEMPORAL_R,-0.032961605199776506,0.771620060334341,[-0.25  0.19],-0.08852723822349683,0.43487033113895457,[-0.3   0.13],82
FRONTAL_R/PARIETAL_L,-0.05693335252363476,0.6159347907408004,[-0.27  0.16],-0.10440186573757344,0.35672476987613866,[-0.32  0.12],82
FRONTAL_R/PARIETAL_R,-0.03626146411314792,0.7494740674925662,[-0.25  0.18],-0.09034611718157601,0.425454494808151,[-0.3   0.13],82
FRONTAL_R/OCCIPITAL_L,-0.04779928868052576,0.6737244460738254,[-0.26  0.17],-0.0903542374501273,0.4254127218858993,[-0.3   0.13],82
FRONTAL_R/OCCIPITAL_R,-0.03712540944310387,0.743708450845169,[-0.25  0.18],-0.09317727271183941,0.41103312943858705,[-0.31  0.13],82
TEMPORAL_L/TEMPORAL_R,-0.02281749310509544,0.8407767815277188,[-0.24  0.2 ],-0.06759000955578541,0.5513685391376015,[-0.28  0.15],82
TEMPORAL_L/PARIETAL_L,-0.033630018305158944,0.7671188007951504,[-0.25  0.19],-0.06233483355751692,0.5827999420487711,[-0.28  0.16],82
TEMPORAL_L/PARIETAL_R,-0.045432029490573074,0.689032993565585,[-0.26  0.18],-0.09245283760426183,0.414695900733285,[-0.31  0.13],82
TEMPORAL_L/OCCIPITAL_L,-0.02749290947307048,0.80871845927487,[-0.25  0.19],-0.0714929529866066,0.5285666472069608,[-0.29  0.15],82
TEMPORAL_L/OCCIPITAL_R,-0.04812470832267899,0.6716301784740981,[-0.27  0.17],-0.09830826468211704,0.38563462281066707,[-0.31  0.12],82
TEMPORAL_R/PARIETAL_L,-0.041092631721934544,0.7174177879725959,[-0.26  0.18],-0.09587273885489318,0.3975711901143445,[-0.31  0.13],82
TEMPORAL_R/PARIETAL_R,-0.01995038753555177,0.8605683403250048,[-0.24  0.2 ],-0.07604295203697488,0.5025926449532732,[-0.29  0.15],82
TEMPORAL_R/OCCIPITAL_L,-0.07577784105395222,0.504087676141999,[-0.29  0.15],-0.1441457991639538,0.20207511592971136,[-0.35  0.08],82
TEMPORAL_R/OCCIPITAL_R,-0.04082692368670305,0.7191688007867629,[-0.26  0.18],-0.10313947926814664,0.362601170589944,[-0.32  0.12],82
PARIETAL_L/PARIETAL_R,-0.04900322017084744,0.6659889444730672,[-0.27  0.17],-0.1120220537269501,0.32251412499451404,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_L,-0.020062983167304992,0.859789389674882,[-0.24  0.2 ],-0.042203347685421236,0.7101140292682129,[-0.26  0.18],82
PARIETAL_L/OCCIPITAL_R,-0.019592815690489318,0.8630429456882832,[-0.24  0.2 ],-0.03737378314130012,0.7420534952467739,[-0.25  0.18],82
PARIETAL_R/OCCIPITAL_L,-0.054609595401178934,0.630434789579295,[-0.27  0.17],-0.0843973401086165,0.4566819294708272,[-0.3   0.14],82
PARIETAL_R/OCCIPITAL_R,-0.036098282875314025,0.750564626253527,[-0.25  0.19],-0.06990872412680348,0.5377650266210969,[-0.29  0.15],82
OCCIPITAL_L/OCCIPITAL_R,0.010856001504350683,0.923859210642494,[-0.21  0.23],-0.02961845581540071,0.7942441606022036,[-0.25  0.19],82
