region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.15417209849071037,0.1721168135673418,[-0.36  0.07],-0.2184592498044235,0.05155985475497904,[-0.42  0.  ],82
FRONTAL_L/TEMPORAL_L,-0.12626296901160985,0.2644094026720434,[-0.34  0.1 ],-0.18771985082829523,0.09542470703827041,[-0.39  0.03],82
FRONTAL_L/TEMPORAL_R,-0.12826570684490352,0.2568455441338438,[-0.34  0.09],-0.2121474525231023,0.05886425206736785,[-0.41  0.01],82
FRONTAL_L/PARIETAL_L,-0.12550306759033622,0.26731837933988,[-0.34  0.1 ],-0.18174681789949235,0.10664084901279397,[-0.39  0.04],82
FRONTAL_L/PARIETAL_R,-0.13490819115100067,0.2328192357968348,[-0.34  0.09],-0.21220910013198407,0.05878903771299658,[-0.41  0.01],82
FRONTAL_L/OCCIPITAL_L,-0.16070242788229352,0.1544412857734519,[-0.37  0.06],-0.2386547274950062,0.03301453009806219,[-0.44 -0.02],82
FRONTAL_L/OCCIPITAL_R,-0.11693543726865313,0.3016084037128059,[-0.33  0.11],-0.16953978947870568,0.13272279962287745,[-0.38  0.05],82
FRONTAL_R/TEMPORAL_L,-0.15715581199937,0.1638650804173742,[-0.36  0.06],-0.2183966873391593,0.05162842352079464,[-0.42  0.  ],82
FRONTAL_R/TEMPORAL_R,-0.15321357646563294,0.17483131851947714,[-0.36  0.07],-0.22480014181376023,0.04498794185970999,[-0.42 -0.01],82
FRONTAL_R/PARIETAL_L,-0.1533938048697492,0.17431853985285886,[-0.36  0.07],-0.19181923431564424,0.08827859328542129,[-0.39  0.03],82
FRONTAL_R/PARIETAL_R,-0.16410720275917762,0.14578004662201907,[-0.37  0.06],-0.23141321088276942,0.038887784910428574,[-0.43 -0.01],82
FRONTAL_R/OCCIPITAL_L,-0.155501154736739,0.1684043082371116,[-0.36  0.07],-0.21716154709658714,0.052997535265495346,[-0.42  0.  ],82
FRONTAL_R/OCCIPITAL_R,-0.15687005588761382,0.16464246838604624,[-0.36  0.07],-0.23305085336019926,0.03748857964526641,[-0.43 -0.01],82
TEMPORAL_L/TEMPORAL_R,-0.12676405538040897,0.26250294679786085,[-0.34  0.1 ],-0.18502788889124985,0.10035925089440205,[-0.39  0.04],82
TEMPORAL_L/PARIETAL_L,-0.10474539727445979,0.3551358758029387,[-0.32  0.12],-0.1257270435338017,0.2664587439854547,[-0.34  0.1 ],82
TEMPORAL_L/PARIETAL_R,-0.1538277155067827,0.1730885137049661,[-0.36  0.07],-0.22534484992882609,0.044457265900025134,[-0.42 -0.01],82
TEMPORAL_L/OCCIPITAL_L,-0.11230127261281983,0.3213018276113087,[-0.32  0.11],-0.16393574046628953,0.14620731076670157,[-0.37  0.06],82
TEMPORAL_L/OCCIPITAL_R,-0.14156816816227116,0.21034573418528332,[-0.35  0.08],-0.1980656486884539,0.07821061260808301,[-0.4   0.02],82
TEMPORAL_R/PARIETAL_L,-0.14519738077659053,0.1987686520876373,[-0.35  0.08],-0.21731139585173673,0.05282986381222163,[-0.42  0.  ],82
TEMPORAL_R/PARIETAL_R,-0.1354797944911068,0.23082735164355783,[-0.34  0.09],-0.20442110889168558,0.06892963971453009,[-0.41  0.02],82
TEMPORAL_R/OCCIPITAL_L,-0.17010518954748086,0.13141660711598718,[-0.38  0.05],-0.24250549944635238,0.030207302334447947,[-0.44 -0.02],82
TEMPORAL_R/OCCIPITAL_R,-0.13416320009762883,0.2354332329897125,[-0.34  0.09],-0.2032334822729746,0.07059303592453521,[-0.4   0.02],82
PARIETAL_L/PARIETAL_R,-0.14054304255901198,0.21370082191628323,[-0.35  0.08],-0.2083484156631964,0.06365268956067467,[-0.41  0.01],82
PARIETAL_L/OCCIPITAL_L,-0.09253762385329406,0.41426624308022175,[-0.31  0.13],-0.11076707761620803,0.3279989859177148,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_R,-0.10508248734030429,0.3535810393632348,[-0.32  0.12],-0.12801703942200637,0.2577766069626711,[-0.34  0.09],82
PARIETAL_R/OCCIPITAL_L,-0.14745763482478705,0.19179344367266754,[-0.36  0.07],-0.19424300984283138,0.08425671701741363,[-0.4   0.03],82
PARIETAL_R/OCCIPITAL_R,-0.13528362160735927,0.23150961853767446,[-0.34  0.09],-0.18763364289231835,0.09557972212815653,[-0.39  0.03],82
OCCIPITAL_L/OCCIPITAL_R,-0.06067915149172162,0.592869673159151,[-0.28  0.16],-0.09380767165002381,0.4078611907146009,[-0.31  0.13],82
