region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.17817365001726554,0.11382478502138133,[-0.38  0.04],-0.19121290358652368,0.08930806690196029,[-0.39  0.03],82
FRONTAL_L/TEMPORAL_L,-0.1612826497720405,0.15293880277715985,[-0.37  0.06],-0.20533031850490863,0.06767765696678653,[-0.41  0.02],82
FRONTAL_L/TEMPORAL_R,-0.16413254801330365,0.14571696878481802,[-0.37  0.06],-0.21614528545011602,0.05414620872875243,[-0.42  0.  ],82
FRONTAL_L/PARIETAL_L,-0.1388819183259478,0.21921751198991074,[-0.35  0.08],-0.17709541028490855,0.11606442501073966,[-0.38  0.04],82
FRONTAL_L/PARIETAL_R,-0.16521390956805337,0.14304478175468963,[-0.37  0.06],-0.22187116745239574,0.047932017027189404,[-0.42 -0.  ],82
FRONTAL_L/OCCIPITAL_L,-0.18737572576183578,0.09604467750682046,[-0.39  0.03],-0.2241564131778463,0.04562182907741717,[-0.42 -0.  ],82
FRONTAL_L/OCCIPITAL_R,-0.15495291738291855,0.1699285144385409,[-0.36  0.07],-0.18736472477721677,0.09606454873098903,[-0.39  0.03],82
FRONTAL_R/TEMPORAL_L,-0.18919322887360376,0.09280575058765983,[-0.39  0.03],-0.20516164276578042,0.06790852738428711,[-0.41  0.02],82
FRONTAL_R/TEMPORAL_R,-0.18863242996583537,0.09379583015638618,[-0.39  0.03],-0.21466780079073278,0.05585246467068278,[-0.41  0.01],82
FRONTAL_R/PARIETAL_L,-0.16851323061633441,0.13511952975347838,[-0.37  0.05],-0.1494278521354608,0.18585879676951522,[-0.36  0.07],82
FRONTAL_R/PARIETAL_R,-0.20394026131458906,0.06959927237823513,[-0.41  0.02],-0.2378373384961111,0.033637763956251475,[-0.43 -0.02],82
FRONTAL_R/OCCIPITAL_L,-0.19155132635081967,0.08873230460887403,[-0.39  0.03],-0.20431818562052656,0.06907253323668636,[-0.41  0.02],82
FRONTAL_R/OCCIPITAL_R,-0.19238806196700364,0.08732134584502779,[-0.4   0.03],-0.23080438670702333,0.0394189376572319,[-0.43 -0.01],82
TEMPORAL_L/TEMPORAL_R,-0.16748013404361464,0.13756448797981843,[-0.37  0.05],-0.19527002231151747,0.0825970312736914,[-0.4   0.03],82
TEMPORAL_L/PARIETAL_L,-0.14303115992167065,0.20562257249169702,[-0.35  0.08],-0.14055975342266763,0.21364582787788172,[-0.35  0.08],82
TEMPORAL_L/PARIETAL_R,-0.18181770790699883,0.10650197466252025,[-0.39  0.04],-0.2312717979363094,0.03901062234124975,[-0.43 -0.01],82
TEMPORAL_L/OCCIPITAL_L,-0.18603577422366852,0.09848888035834705,[-0.39  0.04],-0.2399612016225461,0.03203852266632966,[-0.44 -0.02],82
TEMPORAL_L/OCCIPITAL_R,-0.1947875439580836,0.0833734663861967,[-0.4   0.03],-0.25479149655392286,0.02255785133727289,[-0.45 -0.04],82
TEMPORAL_R/PARIETAL_L,-0.15469682324927408,0.17064397047243646,[-0.36  0.07],-0.19044594410302218,0.0906238237764368,[-0.39  0.03],82
TEMPORAL_R/PARIETAL_R,-0.172136325836743,0.12680477475383656,[-0.38  0.05],-0.20472321853522488,0.06851158086551398,[-0.41  0.02],82
TEMPORAL_R/OCCIPITAL_L,-0.2014074131181617,0.07321347033194216,[-0.4   0.02],-0.22349616913666714,0.0462796271675866,[-0.42 -0.  ],82
TEMPORAL_R/OCCIPITAL_R,-0.1642606230082202,0.14539853629855654,[-0.37  0.06],-0.19981847562599048,0.07555659233320501,[-0.4   0.02],82
PARIETAL_L/PARIETAL_R,-0.1492251724271078,0.1864630875989318,[-0.36  0.07],-0.18357339796692024,0.10310721148639682,[-0.39  0.04],82
PARIETAL_L/OCCIPITAL_L,-0.1390552592349692,0.21863719575065846,[-0.35  0.08],-0.12290194650625368,0.27743862134242353,[-0.33  0.1 ],82
PARIETAL_L/OCCIPITAL_R,-0.12742217909481826,0.2600131936308771,[-0.34  0.09],-0.13123932774674393,0.24588894214048537,[-0.34  0.09],82
PARIETAL_R/OCCIPITAL_L,-0.17628126920571477,0.11777788360541103,[-0.38  0.05],-0.21852903660777823,0.05148345627553022,[-0.42  0.  ],82
PARIETAL_R/OCCIPITAL_R,-0.15353990800949224,0.17390366196608728,[-0.36  0.07],-0.18667200753779795,0.09732232430678929,[-0.39  0.03],82
OCCIPITAL_L/OCCIPITAL_R,-0.10388066228246463,0.35914379984147493,[-0.32  0.12],-0.10728698675336874,0.3435170390827784,[-0.32  0.12],82
