region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.09201908907045,0.02945634943253315,[-0.17 -0.01],-0.0345462671301453,0.41453973317282466,[-0.12  0.05],562
FRONTAL_L/TEMPORAL_L,-0.103592093816544,0.014184360898360037,[-0.18 -0.02],-0.061638174529406904,0.14518495699368344,[-0.14  0.02],562
FRONTAL_L/TEMPORAL_R,-0.09232774598249398,0.028913833517004675,[-0.17 -0.01],-0.03535331940469551,0.4037155030342272,[-0.12  0.05],562
FRONTAL_L/PARIETAL_L,-0.08994305078547893,0.03333710205378844,[-0.17 -0.01],-0.03888997744591627,0.35830692199867265,[-0.12  0.04],562
FRONTAL_L/PARIETAL_R,-0.0931092147624274,0.02757848110031155,[-0.17 -0.01],-0.0432826992238554,0.3065697803387384,[-0.13  0.04],562
FRONTAL_L/OCCIPITAL_L,-0.08813427432640154,0.0370660201565414,[-0.17 -0.01],-0.043501684220632664,0.3041267153297861,[-0.13  0.04],562
FRONTAL_L/OCCIPITAL_R,-0.09453762285911052,0.02527443886876347,[-0.18 -0.01],-0.04958322799713177,0.24141707191913278,[-0.13  0.03],562
FRONTAL_R/TEMPORAL_L,-0.09986674418797288,0.018083202087679544,[-0.18 -0.02],-0.057428741702131705,0.17475082591110874,[-0.14  0.03],562
FRONTAL_R/TEMPORAL_R,-0.09021010552086771,0.03281463321137948,[-0.17 -0.01],-0.026944818709018485,0.5245668424762029,[-0.11  0.06],562
FRONTAL_R/PARIETAL_L,-0.09116243315289947,0.03100803574874104,[-0.17 -0.01],-0.03792935861759001,0.3703119032641389,[-0.12  0.05],562
FRONTAL_R/PARIETAL_R,-0.08352342691280012,0.04820444941220368,[-0.17 -0.  ],-0.02664128911157984,0.5292502397724171,[-0.11  0.06],562
FRONTAL_R/OCCIPITAL_L,-0.09604172054958404,0.023029799509520357,[-0.18 -0.01],-0.05391944860958341,0.20264821205155403,[-0.14  0.03],562
FRONTAL_R/OCCIPITAL_R,-0.09263757797513018,0.028377902183956985,[-0.17 -0.01],-0.03819353150311895,0.36698592114171746,[-0.12  0.04],562
TEMPORAL_L/TEMPORAL_R,-0.09621915001161588,0.022776756972025202,[-0.18 -0.01],-0.05796621019997661,0.1707437764468228,[-0.14  0.03],562
TEMPORAL_L/PARIETAL_L,-0.08961984573584253,0.0339789030543075,[-0.17 -0.01],-0.04918665042286421,0.24520653058054798,[-0.13  0.03],562
TEMPORAL_L/PARIETAL_R,-0.09787199783377361,0.020533014311046885,[-0.18 -0.02],-0.04489460232425172,0.288889399894809,[-0.13  0.04],562
TEMPORAL_L/OCCIPITAL_L,-0.10703518987262577,0.011259507078457926,[-0.19 -0.02],-0.05956779024845502,0.15921052652927933,[-0.14  0.02],562
TEMPORAL_L/OCCIPITAL_R,-0.10574346374207863,0.012287480865182943,[-0.19 -0.02],-0.052076660032363165,0.21853234881933037,[-0.13  0.03],562
TEMPORAL_R/PARIETAL_L,-0.09677009818600969,0.02200631280458089,[-0.18 -0.01],-0.03675021930623297,0.3853839658715794,[-0.12  0.05],562
TEMPORAL_R/PARIETAL_R,-0.08113503481466487,0.05499955713589347,[-0.16  0.  ],-0.02026364814313421,0.6322921687454399,[-0.1   0.06],562
TEMPORAL_R/OCCIPITAL_L,-0.1090619591355175,0.009799686142305185,[-0.19 -0.03],-0.07128541419229203,0.0919314817211294,[-0.15  0.01],562
TEMPORAL_R/OCCIPITAL_R,-0.09983230709512626,0.018123227938684237,[-0.18 -0.02],-0.06461990582912344,0.12667006250067483,[-0.15  0.02],562
PARIETAL_L/PARIETAL_R,-0.0833799553432298,0.048591773614023205,[-0.17 -0.  ],-0.02580300687647852,0.5422940112812891,[-0.11  0.06],562
PARIETAL_L/OCCIPITAL_L,-0.10485512187988766,0.013041734800125623,[-0.19 -0.02],-0.06285278180756658,0.13740774745854828,[-0.14  0.02],562
PARIETAL_L/OCCIPITAL_R,-0.10331390477543384,0.014447560447775318,[-0.18 -0.02],-0.05584717713231578,0.18694772959884495,[-0.14  0.03],562
PARIETAL_R/OCCIPITAL_L,-0.08605372689072649,0.04178752717985962,[-0.17 -0.  ],-0.04396481629937576,0.2990024545435262,[-0.13  0.04],562
PARIETAL_R/OCCIPITAL_R,-0.10055312112044086,0.01730138420964561,[-0.18 -0.02],-0.05620982870080877,0.18409703906504973,[-0.14  0.03],562
OCCIPITAL_L/OCCIPITAL_R,-0.09850238437005321,0.019729343367273302,[-0.18 -0.02],-0.05578747301762727,0.18742014540207869,[-0.14  0.03],562
