region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.05439697740046813,0.18626241530727747,[-0.13  0.03],-0.04686658163660977,0.25489977106315403,[-0.13  0.03],594
FRONTAL_L/TEMPORAL_L,-0.05655226852099708,0.16938960035828726,[-0.14  0.02],-0.045687527646915436,0.267061230656186,[-0.13  0.04],594
FRONTAL_L/TEMPORAL_R,-0.07017242115394215,0.08803351301283091,[-0.15  0.01],-0.061143585644607576,0.13729661177301225,[-0.14  0.02],594
FRONTAL_L/PARIETAL_L,-0.05381453516827338,0.19102790083640375,[-0.13  0.03],-0.032742174783647264,0.42650824829886536,[-0.11  0.05],594
FRONTAL_L/PARIETAL_R,-0.06429475940764878,0.11813028025815266,[-0.14  0.02],-0.05227199599393156,0.20408005898069065,[-0.13  0.03],594
FRONTAL_L/OCCIPITAL_L,-0.06120486992243254,0.13690232690628093,[-0.14  0.02],-0.038982972046713665,0.34371425257831656,[-0.12  0.04],594
FRONTAL_L/OCCIPITAL_R,-0.06664668847489907,0.10524127802567326,[-0.15  0.01],-0.05730018647642113,0.16381001457334657,[-0.14  0.02],594
FRONTAL_R/TEMPORAL_L,-0.06337480842064215,0.12349571953877057,[-0.14  0.02],-0.062187054566476364,0.1307014842226159,[-0.14  0.02],594
FRONTAL_R/TEMPORAL_R,-0.060360789274572356,0.14241004083220427,[-0.14  0.02],-0.05962447259079718,0.1473517798480752,[-0.14  0.02],594
FRONTAL_R/PARIETAL_L,-0.0644284802635727,0.11736579640434294,[-0.14  0.02],-0.055912596995466475,0.17427342177813415,[-0.14  0.02],594
FRONTAL_R/PARIETAL_R,-0.06303150714817474,0.12554589904419422,[-0.14  0.02],-0.06841933387500614,0.0962833898354654,[-0.15  0.01],594
FRONTAL_R/OCCIPITAL_L,-0.04933527198352909,0.23069446220135317,[-0.13  0.03],-0.0406456291665739,0.323510947671675,[-0.12  0.04],594
FRONTAL_R/OCCIPITAL_R,-0.058356271224390535,0.15616826222986918,[-0.14  0.02],-0.06211333173692453,0.13115924278481036,[-0.14  0.02],594
TEMPORAL_L/TEMPORAL_R,-0.057243342831106214,0.16422916485056585,[-0.14  0.02],-0.044574367123490506,0.27890290293620656,[-0.12  0.04],594
TEMPORAL_L/PARIETAL_L,-0.06599071155006558,0.1087187982259979,[-0.15  0.01],-0.07517062666383324,0.06759440695198873,[-0.15  0.01],594
TEMPORAL_L/PARIETAL_R,-0.05769566488693305,0.16091609120521383,[-0.14  0.02],-0.042285501863728245,0.30435661846324696,[-0.12  0.04],594
TEMPORAL_L/OCCIPITAL_L,-0.049650980201016603,0.22772062393226525,[-0.13  0.03],-0.04106029211740873,0.3185950646393935,[-0.12  0.04],594
TEMPORAL_L/OCCIPITAL_R,-0.05372014755750173,0.19180852413892888,[-0.13  0.03],-0.05062794120593675,0.2186909851964816,[-0.13  0.03],594
TEMPORAL_R/PARIETAL_L,-0.07599196732137319,0.06464156447423837,[-0.16  0.  ],-0.08423697520168905,0.040473368567090835,[-0.16 -0.  ],594
TEMPORAL_R/PARIETAL_R,-0.06859673557493409,0.09542146260487416,[-0.15  0.01],-0.06688730030587733,0.10398802098986003,[-0.15  0.01],594
TEMPORAL_R/OCCIPITAL_L,-0.06589851482372143,0.10921474453163318,[-0.15  0.01],-0.069771035696566,0.08987035666362299,[-0.15  0.01],594
TEMPORAL_R/OCCIPITAL_R,-0.0712628100613996,0.08319571163645906,[-0.15  0.01],-0.08398485847565144,0.04107908079227785,[-0.16 -0.  ],594
PARIETAL_L/PARIETAL_R,-0.07904895769431387,0.054569532861510214,[-0.16  0.  ],-0.0793208357549193,0.053740758312870764,[-0.16  0.  ],594
PARIETAL_L/OCCIPITAL_L,-0.054738349234882494,0.18351039240507835,[-0.13  0.03],-0.05229450885180821,0.20388502533930275,[-0.13  0.03],594
PARIETAL_L/OCCIPITAL_R,-0.051499031193805424,0.2108587658214111,[-0.13  0.03],-0.03911596612242165,0.34206924638469216,[-0.12  0.04],594
PARIETAL_R/OCCIPITAL_L,-0.060000020749527976,0.14481521906630504,[-0.14  0.02],-0.04273665311898314,0.29922152092426907,[-0.12  0.04],594
PARIETAL_R/OCCIPITAL_R,-0.0701612393043456,0.08808427197485022,[-0.15  0.01],-0.067951839722109,0.09858454920031548,[-0.15  0.01],594
OCCIPITAL_L/OCCIPITAL_R,-0.06873210392182119,0.09476791421594619,[-0.15  0.01],-0.0694770443968302,0.09123516298177313,[-0.15  0.01],594
