region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.06689609243335012,0.12015920188618097,[-0.02  0.15],0.07042759012856385,0.10176690526207603,[-0.01  0.15],543
FRONTAL_L/TEMPORAL_L,0.07062834956208584,0.10079251930157918,[-0.01  0.15],0.06430282786719518,0.13524557677450816,[-0.02  0.15],543
FRONTAL_L/TEMPORAL_R,0.06766268628022334,0.11596083862383065,[-0.02  0.15],0.0683770464688513,0.1121528564295425,[-0.02  0.15],543
FRONTAL_L/PARIETAL_L,0.07308181576968965,0.08947392254822017,[-0.01  0.16],0.06358805299376454,0.13965029457271305,[-0.02  0.15],543
FRONTAL_L/PARIETAL_R,0.06938067296413988,0.10696986449086163,[-0.02  0.15],0.06470179737079904,0.13283395574205378,[-0.02  0.15],543
FRONTAL_L/OCCIPITAL_L,0.06957192097045996,0.10600402344935962,[-0.01  0.15],0.05904873607125693,0.17023201067663368,[-0.03  0.14],543
FRONTAL_L/OCCIPITAL_R,0.0690066763932289,0.10887870669354197,[-0.02  0.15],0.06997727993654858,0.10397968479980454,[-0.01  0.15],543
FRONTAL_R/TEMPORAL_L,0.07066308725972882,0.10062467470463159,[-0.01  0.15],0.07069354401022945,0.10047769748978494,[-0.01  0.15],543
FRONTAL_R/TEMPORAL_R,0.07201359232276376,0.09426978525162596,[-0.01  0.16],0.06677993782541525,0.12080556565078272,[-0.02  0.15],543
FRONTAL_R/PARIETAL_L,0.06784357114456314,0.11498716017047825,[-0.02  0.15],0.06031953742226056,0.16120585880210056,[-0.02  0.14],543
FRONTAL_R/PARIETAL_R,0.0822140442034487,0.05599647972195472,[-0.    0.17],0.07844576837393416,0.06827430421028184,[-0.01  0.16],543
FRONTAL_R/OCCIPITAL_L,0.06843021547004605,0.11187341209695587,[-0.02  0.15],0.0586661542074886,0.17302200789659916,[-0.03  0.14],543
FRONTAL_R/OCCIPITAL_R,0.05303176296446613,0.2181355448495323,[-0.03  0.14],0.04729342494610768,0.2721664228974355,[-0.04  0.13],543
TEMPORAL_L/TEMPORAL_R,0.061280634680933484,0.15462244361781827,[-0.02  0.14],0.0557406687280944,0.1954918455243999,[-0.03  0.14],543
TEMPORAL_L/PARIETAL_L,0.057701965592311034,0.18020440654796668,[-0.03  0.14],0.049667927296740084,0.24879288171085667,[-0.03  0.13],543
TEMPORAL_L/PARIETAL_R,0.0748330410076101,0.08203737749256175,[-0.01  0.16],0.07045167554030805,0.10164961341870714,[-0.01  0.15],543
TEMPORAL_L/OCCIPITAL_L,0.07838342432675585,0.06849465227271687,[-0.01  0.16],0.0746504396192187,0.08278865527882381,[-0.01  0.16],543
TEMPORAL_L/OCCIPITAL_R,0.08438266341129855,0.049803157964326675,[0.   0.17],0.09229976317650482,0.031836634055861145,[0.01 0.18],543
TEMPORAL_R/PARIETAL_L,0.06537391744098758,0.12884649699118317,[-0.02  0.15],0.06156516224260642,0.15271307196396228,[-0.02  0.15],543
TEMPORAL_R/PARIETAL_R,0.06413130368970207,0.13629268704980424,[-0.02  0.15],0.05497645138369408,0.20169840999839145,[-0.03  0.14],543
TEMPORAL_R/OCCIPITAL_L,0.06396653318381029,0.13730443390274769,[-0.02  0.15],0.07140130213615756,0.09711003241560555,[-0.01  0.15],543
TEMPORAL_R/OCCIPITAL_R,0.0567240271002079,0.1877124918651266,[-0.03  0.14],0.05202866755249851,0.22697985872642695,[-0.03  0.14],543
PARIETAL_L/PARIETAL_R,0.07595174681261728,0.0775542464333244,[-0.01  0.16],0.07535173713621675,0.07993334179149378,[-0.01  0.16],543
PARIETAL_L/OCCIPITAL_L,0.07125015378144019,0.09782156622696171,[-0.01  0.15],0.06560728593119942,0.12748390419279204,[-0.02  0.15],543
PARIETAL_L/OCCIPITAL_R,0.05922399098150014,0.16896524125401874,[-0.03  0.14],0.03911978068508576,0.36380112003045095,[-0.05  0.12],543
PARIETAL_R/OCCIPITAL_L,0.07393735434160045,0.08577591851779773,[-0.01  0.16],0.0603447763426791,0.16103031736668624,[-0.02  0.14],543
PARIETAL_R/OCCIPITAL_R,0.0741817324987234,0.08474253311079223,[-0.01  0.16],0.06696684271092838,0.11976682418996507,[-0.02  0.15],543
OCCIPITAL_L/OCCIPITAL_R,0.06442728105070547,0.13448971076978183,[-0.02  0.15],0.05216190095643373,0.22579066887996335,[-0.03  0.14],543
