region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.09577962108297984,0.31072159377926994,[-0.27  0.09],-0.11875177070405965,0.20824469098481396,[-0.3   0.07],116
FRONTAL_L/TEMPORAL_L,-0.08272941858162043,0.38153299756558634,[-0.26  0.1 ],-0.08380938168771396,0.3753273198336865,[-0.26  0.1 ],116
FRONTAL_L/TEMPORAL_R,-0.09300067847849572,0.3250332871958781,[-0.27  0.09],-0.06966571035558629,0.4614116727358285,[-0.25  0.12],116
FRONTAL_L/PARIETAL_L,-0.08041028045058163,0.3950674928110962,[-0.26  0.11],-0.08816998956049742,0.3509018401591195,[-0.27  0.1 ],116
FRONTAL_L/PARIETAL_R,-0.09151053859741322,0.33287911125142433,[-0.27  0.09],-0.1124063672518203,0.23376240520937228,[-0.29  0.07],116
FRONTAL_L/OCCIPITAL_L,-0.0758755138103287,0.422345776527841,[-0.26  0.11],-0.061718049843616105,0.514189282334153,[-0.24  0.12],116
FRONTAL_L/OCCIPITAL_R,-0.060143761026665146,0.5249990610930602,[-0.24  0.13],-0.04453736923849341,0.6379821616557475,[-0.23  0.14],116
FRONTAL_R/TEMPORAL_L,-0.07302592313535781,0.440030096543813,[-0.25  0.11],-0.0605293322689235,0.5223409826568814,[-0.24  0.12],116
FRONTAL_R/TEMPORAL_R,-0.07991314981012253,0.39800557849582296,[-0.26  0.11],-0.0946436333470779,0.3165216394150824,[-0.27  0.09],116
FRONTAL_R/PARIETAL_L,-0.08069229415181703,0.3934065334046136,[-0.26  0.1 ],-0.08506800796894162,0.3681731425396664,[-0.26  0.1 ],116
FRONTAL_R/PARIETAL_R,-0.07896602650428085,0.40363897888370315,[-0.26  0.11],-0.06923111251285771,0.46421829047215823,[-0.25  0.12],116
FRONTAL_R/OCCIPITAL_L,-0.07528841951945742,0.4259552423920122,[-0.26  0.11],-0.08669938624860138,0.35902578812329844,[-0.27  0.1 ],116
FRONTAL_R/OCCIPITAL_R,-0.054733427922626275,0.5630031817839318,[-0.24  0.13],-0.06353739666684387,0.5018406186535972,[-0.24  0.12],116
TEMPORAL_L/TEMPORAL_R,-0.08374201414983248,0.3757126182204773,[-0.26  0.1 ],-0.08146570247980517,0.38887289775840694,[-0.26  0.1 ],116
TEMPORAL_L/PARIETAL_L,-0.0890755763878965,0.34595683429175417,[-0.27  0.1 ],-0.095010189276631,0.31464249441077335,[-0.27  0.09],116
TEMPORAL_L/PARIETAL_R,-0.0730278833209352,0.440017789532162,[-0.25  0.11],-0.06616216967145794,0.4843018599967701,[-0.25  0.12],116
TEMPORAL_L/OCCIPITAL_L,-0.05381994453135263,0.5695466439804198,[-0.24  0.13],-0.05372521555081343,0.5702272499857686,[-0.24  0.13],116
TEMPORAL_L/OCCIPITAL_R,-0.07562049270049567,0.4239114738113713,[-0.26  0.11],-0.08787052591573437,0.35254675444195094,[-0.27  0.1 ],116
TEMPORAL_R/PARIETAL_L,-0.09781171164944345,0.30051998807350827,[-0.28  0.09],-0.09156438143937128,0.33259353674515446,[-0.27  0.09],116
TEMPORAL_R/PARIETAL_R,-0.08274346151687335,0.38145190766887693,[-0.26  0.1 ],-0.07654698443998349,0.4182393204343746,[-0.26  0.11],116
TEMPORAL_R/OCCIPITAL_L,-0.09562997812459861,0.31148164770129944,[-0.27  0.09],-0.11705847241635357,0.21485055639098583,[-0.29  0.07],116
TEMPORAL_R/OCCIPITAL_R,-0.08324402861551931,0.3785682387133994,[-0.26  0.1 ],-0.08425228251405012,0.37280021637218697,[-0.26  0.1 ],116
PARIETAL_L/PARIETAL_R,-0.09404448092587807,0.319608797402824,[-0.27  0.09],-0.09734823445843935,0.3028271469478145,[-0.28  0.09],116
PARIETAL_L/OCCIPITAL_L,-0.086797614789612,0.358479544015022,[-0.27  0.1 ],-0.12223526069138592,0.19511452052187428,[-0.3   0.06],116
PARIETAL_L/OCCIPITAL_R,-0.06795155498388387,0.47253580589720257,[-0.25  0.12],-0.05892972586593025,0.5334128407846888,[-0.24  0.13],116
PARIETAL_R/OCCIPITAL_L,-0.07287380493363428,0.44098576366932674,[-0.25  0.11],-0.08960837055973946,0.34306805251195327,[-0.27  0.1 ],116
PARIETAL_R/OCCIPITAL_R,-0.08061466634682128,0.3938633165656228,[-0.26  0.1 ],-0.10317360573686434,0.27467024711946525,[-0.28  0.08],116
OCCIPITAL_L/OCCIPITAL_R,-0.046791958699165775,0.6210474296447255,[-0.23  0.14],-0.017800237473405096,0.850896333311152,[-0.2   0.17],116
