region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.014705150779748061,0.7251672293687519,[-0.1   0.07],-0.028981100532407475,0.4883285017003659,[-0.11  0.05],576
FRONTAL_L/TEMPORAL_L,0.010496433993259481,0.8018640494909266,[-0.07  0.09],0.026926259242840585,0.5196935924400254,[-0.06  0.11],576
FRONTAL_L/TEMPORAL_R,0.019708089204742218,0.6375059587654132,[-0.06  0.1 ],0.03278886494639294,0.43300269825061066,[-0.05  0.11],576
FRONTAL_L/PARIETAL_L,0.0044980048798383705,0.9143683943633881,[-0.08  0.09],-0.0029036096894738354,0.944660049594995,[-0.08  0.08],576
FRONTAL_L/PARIETAL_R,0.016902632989045884,0.6861359423498183,[-0.07  0.1 ],0.015598839542979298,0.7092008020809771,[-0.07  0.1 ],576
FRONTAL_L/OCCIPITAL_L,-0.017592740304640492,0.6740429234744321,[-0.1   0.06],-0.022886036447768755,0.5842503502567765,[-0.1   0.06],576
FRONTAL_L/OCCIPITAL_R,-0.01933907194895467,0.6438199781331191,[-0.1   0.06],-0.019040789185054478,0.6489425389843797,[-0.1   0.06],576
FRONTAL_R/TEMPORAL_L,0.012110588361756911,0.7721779680261072,[-0.07  0.09],0.02371709195495465,0.5706718919130347,[-0.06  0.11],576
FRONTAL_R/TEMPORAL_R,0.011663012330477167,0.7803781442018525,[-0.07  0.09],0.016753885518399673,0.6887531677056069,[-0.07  0.1 ],576
FRONTAL_R/PARIETAL_L,0.010948897012059934,0.793511913007544,[-0.07  0.09],0.0034441504009469145,0.9343792515110356,[-0.08  0.09],576
FRONTAL_R/PARIETAL_R,-0.006236986754177598,0.8814721244453508,[-0.09  0.08],0.012278832105474417,0.7691020198781116,[-0.07  0.09],576
FRONTAL_R/OCCIPITAL_L,-0.007720696914730013,0.8535629626777822,[-0.09  0.07],-0.015401206112345639,0.7127210072562487,[-0.1   0.07],576
FRONTAL_R/OCCIPITAL_R,-0.015801860517504526,0.705591072673206,[-0.1   0.07],-0.014793067042779134,0.7235911097635765,[-0.1   0.07],576
TEMPORAL_L/TEMPORAL_R,0.010487113797128444,0.8020363346469892,[-0.07  0.09],0.018490903771895686,0.6584293977409699,[-0.06  0.1 ],576
TEMPORAL_L/PARIETAL_L,-0.00380289568088245,0.9275620208633978,[-0.09  0.08],-0.0031239174972948398,0.9404687043300497,[-0.08  0.08],576
TEMPORAL_L/PARIETAL_R,-0.0013358667131857743,0.9745236170292351,[-0.08  0.08],0.018668956250376113,0.6553514575414376,[-0.06  0.1 ],576
TEMPORAL_L/OCCIPITAL_L,-0.010596575423933366,0.8000135286935419,[-0.09  0.07],-0.00302142435622431,0.9424184338360035,[-0.08  0.08],576
TEMPORAL_L/OCCIPITAL_R,0.019066941523598502,0.6484927440819336,[-0.06  0.1 ],0.03134276465035567,0.45357608749094613,[-0.05  0.11],576
TEMPORAL_R/PARIETAL_L,0.005550290440415252,0.8944411949420087,[-0.08  0.09],0.008852125300302119,0.8324006336491031,[-0.07  0.09],576
TEMPORAL_R/PARIETAL_R,0.020130704597606772,0.6303069767706144,[-0.06  0.1 ],0.0422270175580379,0.3125275934758019,[-0.04  0.12],576
TEMPORAL_R/OCCIPITAL_L,-0.012994326494215608,0.7560618423191319,[-0.09  0.07],-0.011265208311938304,0.7876869724719454,[-0.09  0.07],576
TEMPORAL_R/OCCIPITAL_R,-0.011849711970296715,0.7769545429220569,[-0.09  0.07],-0.005441931165372878,0.8964903522973553,[-0.09  0.08],576
PARIETAL_L/PARIETAL_R,0.013267746495052307,0.7510966691940826,[-0.07  0.1 ],0.03251991552405214,0.4367877070161995,[-0.05  0.11],576
PARIETAL_L/OCCIPITAL_L,0.007029139021413213,0.8665508899853677,[-0.07  0.09],0.006524684426444567,0.8760478180844974,[-0.08  0.09],576
PARIETAL_L/OCCIPITAL_R,0.003338922833643823,0.9363798224622646,[-0.08  0.09],-0.004692833118207002,0.9106744877751802,[-0.09  0.08],576
PARIETAL_R/OCCIPITAL_L,0.008065488251639217,0.8471020784967815,[-0.07  0.09],0.022077412180387772,0.5976044805291874,[-0.06  0.1 ],576
PARIETAL_R/OCCIPITAL_R,0.03389802283547379,0.41759455235039067,[-0.05  0.12],0.05456238621643973,0.1917754749469036,[-0.03  0.14],576
OCCIPITAL_L/OCCIPITAL_R,-0.013975526264471579,0.7382918477436278,[-0.1   0.07],0.0026883219246076496,0.9487573663321975,[-0.08  0.08],576
