region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.004301173136660567,0.9697948779460441,[-0.22  0.22],-0.07811475169772217,0.49098886350920357,[-0.29  0.14],82
FRONTAL_L/TEMPORAL_L,0.018240570753396454,0.8724129926356701,[-0.2   0.24],-0.03791711334964567,0.7384372794104166,[-0.26  0.18],82
FRONTAL_L/TEMPORAL_R,0.008087645837386869,0.9432379797886465,[-0.21  0.23],-0.05468177441271211,0.6299822551641738,[-0.27  0.17],82
FRONTAL_L/PARIETAL_L,-0.0032627036572940417,0.9770852826798162,[-0.22  0.22],-0.08497132064846688,0.45361492504862955,[-0.3   0.14],82
FRONTAL_L/PARIETAL_R,0.04317656343763844,0.7037358011718648,[-0.18  0.26],-0.026419415049380578,0.8160534163088248,[-0.24  0.19],82
FRONTAL_L/OCCIPITAL_L,-0.012839365425932687,0.9100020002754095,[-0.23  0.21],-0.06611238273811215,0.5601231886639331,[-0.28  0.16],82
FRONTAL_L/OCCIPITAL_R,-0.009591016370931495,0.932709422424148,[-0.23  0.21],-0.04264885983723057,0.7071917436264242,[-0.26  0.18],82
FRONTAL_R/TEMPORAL_L,-0.03702608062151499,0.7443706210442558,[-0.25  0.18],-0.11357158773646832,0.31582333986493905,[-0.33  0.11],82
FRONTAL_R/TEMPORAL_R,-0.05331675295083172,0.6385633086736638,[-0.27  0.17],-0.13446593634662612,0.23436855709647544,[-0.34  0.09],82
FRONTAL_R/PARIETAL_L,0.008977068638342873,0.9370077923402795,[-0.21  0.23],-0.07903655155063016,0.4858717778457493,[-0.29  0.14],82
FRONTAL_R/PARIETAL_R,0.020238272873913943,0.8585769800945409,[-0.2   0.24],-0.06755599915656088,0.5515693000666321,[-0.28  0.15],82
FRONTAL_R/OCCIPITAL_L,0.047972306553331755,0.6726106638625167,[-0.17  0.26],-0.05969595656115038,0.5988861471841262,[-0.28  0.16],82
FRONTAL_R/OCCIPITAL_R,0.06133175641882686,0.5888912458594093,[-0.16  0.28],-0.03870085964593017,0.7332309377716303,[-0.26  0.18],82
TEMPORAL_L/TEMPORAL_R,0.012538954937881628,0.9120992634346821,[-0.21  0.23],-0.08169677638015142,0.47126440346678655,[-0.3   0.14],82
TEMPORAL_L/PARIETAL_L,0.03879048533284177,0.732636324954188,[-0.18  0.26],-0.05563729490492386,0.6240043951980849,[-0.27  0.17],82
TEMPORAL_L/PARIETAL_R,0.007467288470839335,0.9475854694375294,[-0.21  0.23],-0.08917851408814195,0.4314853737912938,[-0.3   0.13],82
TEMPORAL_L/OCCIPITAL_L,0.08300204813167406,0.4641849644004542,[-0.14  0.3 ],0.04040545052696577,0.7219492679092403,[-0.18  0.26],82
TEMPORAL_L/OCCIPITAL_R,0.07438166674861207,0.5119988757174397,[-0.15  0.29],0.031984144375127324,0.7782160807025179,[-0.19  0.25],82
TEMPORAL_R/PARIETAL_L,0.054142837340691995,0.6333644585771463,[-0.17  0.27],-0.002222683575097429,0.9843884546384973,[-0.22  0.22],82
TEMPORAL_R/PARIETAL_R,0.08376094306825456,0.46009576781934103,[-0.14  0.3 ],0.01310914769781126,0.9081190861982971,[-0.21  0.23],82
TEMPORAL_R/OCCIPITAL_L,0.06847104032128153,0.546180189573623,[-0.15  0.28],-0.002931397981582854,0.9794115834357171,[-0.22  0.22],82
TEMPORAL_R/OCCIPITAL_R,-0.003318779295737156,0.9766915595394992,[-0.22  0.22],-0.07161940598001411,0.5278358339982367,[-0.29  0.15],82
PARIETAL_L/PARIETAL_R,0.06728857463073672,0.553149114037299,[-0.15  0.28],-0.003033718049528605,0.9786931121272494,[-0.22  0.22],82
PARIETAL_L/OCCIPITAL_L,0.0794860083009869,0.48338705861953235,[-0.14  0.29],0.022187520858933267,0.8451174598670301,[-0.2   0.24],82
PARIETAL_L/OCCIPITAL_R,0.04562068768347027,0.6878082921017727,[-0.18  0.26],0.006907292489221904,0.9515112623149492,[-0.21  0.23],82
PARIETAL_R/OCCIPITAL_L,0.11696173030403667,0.3014989665719026,[-0.11  0.33],0.06196835378506755,0.5850220901570755,[-0.16  0.28],82
PARIETAL_R/OCCIPITAL_R,0.06886972303180863,0.5438401897499753,[-0.15  0.28],0.008758910804445437,0.9385355986411796,[-0.21  0.23],82
OCCIPITAL_L/OCCIPITAL_R,0.12251613333800977,0.2789612209369239,[-0.1   0.33],0.02091472579060826,0.8539013128968769,[-0.2   0.24],82
