region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.003373553311805051,0.9763069808388609,[-0.22  0.22],-0.030694524229823994,0.7869425482912251,[-0.25  0.19],82
FRONTAL_L/TEMPORAL_L,0.05382030105702475,0.6353922030843245,[-0.17  0.27],0.0008089937659590679,0.994317531902701,[-0.22  0.22],82
FRONTAL_L/TEMPORAL_R,0.058560382915047254,0.6058686457094202,[-0.16  0.27],0.03419930021633164,0.7632911752414901,[-0.19  0.25],82
FRONTAL_L/PARIETAL_L,0.04549811715004857,0.6886038849894033,[-0.18  0.26],0.023881812672598195,0.8334541718448985,[-0.2   0.24],82
FRONTAL_L/PARIETAL_R,0.08427036600859314,0.4573619424643969,[-0.14  0.3 ],0.016310183504435097,0.8858192926361764,[-0.2   0.24],82
FRONTAL_L/OCCIPITAL_L,0.04002002650544738,0.7244950762732902,[-0.18  0.26],0.003930915874866191,0.9723939554585453,[-0.22  0.22],82
FRONTAL_L/OCCIPITAL_R,-0.0005003127873442253,0.9964857256919817,[-0.22  0.22],-0.04045383567386932,0.7216298862059313,[-0.26  0.18],82
FRONTAL_R/TEMPORAL_L,-0.010905646744088891,0.9235120591206369,[-0.23  0.21],-0.05944001774367746,0.6004567572241077,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_R,0.0036358978532942524,0.9744650867348004,[-0.22  0.22],-0.03138276915784631,0.7822820640025158,[-0.25  0.19],82
FRONTAL_R/PARIETAL_L,0.008363739765699742,0.9413036277917503,[-0.21  0.23],-0.037774796108131774,0.7393839484872478,[-0.26  0.18],82
FRONTAL_R/PARIETAL_R,0.05299645411888894,0.6405837807341079,[-0.17  0.27],0.0053216957606784755,0.9626328734881943,[-0.21  0.22],82
FRONTAL_R/OCCIPITAL_L,-0.011390508391220652,0.9201223548877953,[-0.23  0.21],-0.06545477205811803,0.5640405325511957,[-0.28  0.16],82
FRONTAL_R/OCCIPITAL_R,-0.02733599461293741,0.809789612998199,[-0.25  0.19],-0.09494538763149905,0.40217295744617465,[-0.31  0.13],82
TEMPORAL_L/TEMPORAL_R,0.046352978205975184,0.6830621525508532,[-0.18  0.26],0.004248922703309267,0.9701616394194739,[-0.22  0.22],82
TEMPORAL_L/PARIETAL_L,0.0489356882263859,0.6664219389745909,[-0.17  0.27],0.012428976554964135,0.9128672091682188,[-0.21  0.23],82
TEMPORAL_L/PARIETAL_R,0.008666406316633742,0.9391834948086558,[-0.21  0.23],-0.04686476420520198,0.6797524175896721,[-0.26  0.17],82
TEMPORAL_L/OCCIPITAL_L,0.10647065911239877,0.3472226301848693,[-0.12  0.32],0.08801044983947173,0.43756696330606815,[-0.13  0.3 ],82
TEMPORAL_L/OCCIPITAL_R,0.11726963461716589,0.3002193337956918,[-0.11  0.33],0.09319796761729736,0.41092877272304995,[-0.13  0.31],82
TEMPORAL_R/PARIETAL_L,0.10132872065035858,0.3711333313564902,[-0.12  0.31],0.0793708758343969,0.4840228971019538,[-0.14  0.29],82
TEMPORAL_R/PARIETAL_R,0.08696268946298369,0.4430630946850094,[-0.14  0.3 ],0.03949349345628376,0.7279777689410689,[-0.18  0.26],82
TEMPORAL_R/OCCIPITAL_L,0.07843680777458975,0.489197848829969,[-0.14  0.29],0.023741238892390912,0.8344205340853416,[-0.2   0.24],82
TEMPORAL_R/OCCIPITAL_R,0.023465686148823345,0.836315507818394,[-0.2   0.24],0.013920027461931318,0.9024627330477227,[-0.21  0.23],82
PARIETAL_L/PARIETAL_R,0.05706469556673295,0.6151195269171257,[-0.16  0.27],0.03694824229158906,0.744889655613856,[-0.18  0.25],82
PARIETAL_L/OCCIPITAL_L,0.13868204040145346,0.21988801493157606,[-0.08  0.35],0.10778294089946872,0.3412778753614847,[-0.11  0.32],82
PARIETAL_L/OCCIPITAL_R,0.06470364502693114,0.5685307134336257,[-0.16  0.28],0.06928892434910863,0.54138504578051,[-0.15  0.28],82
PARIETAL_R/OCCIPITAL_L,0.12189831462529806,0.28141101133617047,[-0.1   0.33],0.10649275715211531,0.3471219923542792,[-0.12  0.32],82
PARIETAL_R/OCCIPITAL_R,0.1045175757513002,0.35618910076468113,[-0.12  0.32],0.08918253840478259,0.4314645043780583,[-0.13  0.3 ],82
OCCIPITAL_L/OCCIPITAL_R,0.07345955191703284,0.5172585009269638,[-0.15  0.29],0.028590869552237327,0.801233351289121,[-0.19  0.25],82
