region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.010188402958213619,0.9285288455313548,[-0.21  0.23],0.10322350892539785,0.3622081763953928,[-0.12  0.32],82
FRONTAL_L/TEMPORAL_L,-0.04072867982662247,0.7198165934297036,[-0.26  0.18],0.09740363440006211,0.3900429487308321,[-0.12  0.31],82
FRONTAL_L/TEMPORAL_R,-0.048542468691614445,0.6689453059306194,[-0.27  0.17],0.05452452040581812,0.6309683514079529,[-0.17  0.27],82
FRONTAL_L/PARIETAL_L,-0.04782040805518794,0.6735884549326523,[-0.26  0.17],-0.00165333438581931,0.9883870891340562,[-0.22  0.22],82
FRONTAL_L/PARIETAL_R,-0.06241407430854468,0.5823199744457233,[-0.28  0.16],0.08590081857688489,0.44867250770434375,[-0.14  0.3 ],82
FRONTAL_L/OCCIPITAL_L,0.0060634785632740365,0.9574288813307095,[-0.21  0.23],0.1198460380032619,0.289651258420255,[-0.1   0.33],82
FRONTAL_L/OCCIPITAL_R,0.006980215153371801,0.9509999782956997,[-0.21  0.23],0.13834466291542974,0.22102303987100938,[-0.08  0.35],82
FRONTAL_R/TEMPORAL_L,0.04721824173789293,0.6774699917480144,[-0.17  0.26],0.1775434710499349,0.11512965741059568,[-0.04  0.38],82
FRONTAL_R/TEMPORAL_R,-0.027638409335784223,0.8077255421194646,[-0.25  0.19],0.07336646250915627,0.5177909912325833,[-0.15  0.29],82
FRONTAL_R/PARIETAL_L,0.0025528071213169355,0.9820701116251049,[-0.22  0.22],0.09053719641516575,0.4244721527337416,[-0.13  0.3 ],82
FRONTAL_R/PARIETAL_R,-0.05009227188370684,0.6590214313499938,[-0.27  0.17],0.042197710214731565,0.7101510345102131,[-0.18  0.26],82
FRONTAL_R/OCCIPITAL_L,0.06329068440380584,0.5770223950147004,[-0.16  0.28],0.14034779141488066,0.21434411917010016,[-0.08  0.35],82
FRONTAL_R/OCCIPITAL_R,0.05384219823241589,0.635254453244886,[-0.17  0.27],0.16075705021515843,0.1542993742605308,[-0.06  0.37],82
TEMPORAL_L/TEMPORAL_R,-0.04626525741700922,0.6836300478696377,[-0.26  0.18],0.0839855269379969,0.45888943159485374,[-0.14  0.3 ],82
TEMPORAL_L/PARIETAL_L,-0.04842137203891752,0.6697231475922321,[-0.27  0.17],0.10889138934878935,0.336306597140798,[-0.11  0.32],82
TEMPORAL_L/PARIETAL_R,-0.023740921822932918,0.8344227140295525,[-0.24  0.2 ],0.11474283862908308,0.31082570822388755,[-0.11  0.33],82
TEMPORAL_L/OCCIPITAL_L,-0.03187145681063292,0.7789775277936007,[-0.25  0.19],0.07421001169063919,0.5129758973325753,[-0.15  0.29],82
TEMPORAL_L/OCCIPITAL_R,-0.07379704746034524,0.5153302918887088,[-0.29  0.15],0.03077117166221039,0.7864231526810321,[-0.19  0.25],82
TEMPORAL_R/PARIETAL_L,-0.0627410111860646,0.5803416080734616,[-0.28  0.16],0.023623899768267828,0.8352273595781713,[-0.2   0.24],82
TEMPORAL_R/PARIETAL_R,-0.08535712977441241,0.4515598158185381,[-0.3   0.14],0.06362929752088743,0.574982049337752,[-0.16  0.28],82
TEMPORAL_R/OCCIPITAL_L,-0.06246829974732976,0.5819916309471282,[-0.28  0.16],0.07466708270598187,0.5103764629125204,[-0.15  0.29],82
TEMPORAL_R/OCCIPITAL_R,-0.039678437951624616,0.7267538427945806,[-0.26  0.18],0.05110693371042886,0.6525558441290344,[-0.17  0.27],82
PARIETAL_L/PARIETAL_R,-0.020994841724647672,0.8533478785200841,[-0.24  0.2 ],0.039308638847642005,0.7292017804058674,[-0.18  0.26],82
PARIETAL_L/OCCIPITAL_L,-0.0861712628512329,0.44724012559712467,[-0.3   0.14],-0.005980095552023313,0.9580137718054197,[-0.23  0.21],82
PARIETAL_L/OCCIPITAL_R,-0.05118167566588115,0.6520805797437121,[-0.27  0.17],-0.04712114902880913,0.6780966371508725,[-0.26  0.17],82
PARIETAL_R/OCCIPITAL_L,-0.0374826895932391,0.7413282014783908,[-0.26  0.18],-0.0029836188686325022,0.9790448965983629,[-0.22  0.22],82
PARIETAL_R/OCCIPITAL_R,-0.05204299747832629,0.6466136983600875,[-0.27  0.17],-0.0025104975622482067,0.9823672290720965,[-0.22  0.22],82
OCCIPITAL_L/OCCIPITAL_R,-0.0097396588132151,0.9316690317412452,[-0.23  0.21],0.0407052005070025,0.7199714387563652,[-0.18  0.26],82
