region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.06195940925408157,0.5850763735112792,[-0.16  0.28],0.04972765998683318,0.661350945245267,[-0.17  0.27],82
FRONTAL_L/TEMPORAL_L,0.038639227436467395,0.733639921736325,[-0.18  0.26],0.037131110187627756,0.7436704527749625,[-0.18  0.25],82
FRONTAL_L/TEMPORAL_R,0.002721526730910273,0.9808853085305596,[-0.22  0.22],-0.045554967827927444,0.6882348309398346,[-0.26  0.18],82
FRONTAL_L/PARIETAL_L,-0.02361673484641075,0.8352766312014166,[-0.24  0.2 ],-0.09619611182943108,0.3959738757096055,[-0.31  0.13],82
FRONTAL_L/PARIETAL_R,0.036606052983065816,0.7471727563892232,[-0.18  0.25],0.045969404515698066,0.6855466619049424,[-0.18  0.26],82
FRONTAL_L/OCCIPITAL_L,0.05780070154805006,0.6105596804983844,[-0.16  0.27],0.0249524529173486,0.8261023425989613,[-0.2   0.24],82
FRONTAL_L/OCCIPITAL_R,0.0987629200350659,0.38343037256045287,[-0.12  0.31],0.1199509840512593,0.28922605613088287,[-0.1   0.33],82
FRONTAL_R/TEMPORAL_L,0.07170667752944018,0.5273317579189432,[-0.15  0.29],0.04925134326049926,0.6643989920896054,[-0.17  0.27],82
FRONTAL_R/TEMPORAL_R,-0.05378709931992166,0.635601090794354,[-0.27  0.17],-0.06347073609473733,0.5759370598232096,[-0.28  0.16],82
FRONTAL_R/PARIETAL_L,0.03301249376675606,0.7712770967567313,[-0.19  0.25],0.018269969442436768,0.8722090900610807,[-0.2   0.24],82
FRONTAL_R/PARIETAL_R,0.0018444175892266905,0.9870450430831483,[-0.22  0.22],-0.02408591882765987,0.8320515012726943,[-0.24  0.2 ],82
FRONTAL_R/OCCIPITAL_L,0.15587142914355873,0.16738058212931695,[-0.07  0.36],0.13741552465472248,0.22417017123193514,[-0.08  0.35],82
FRONTAL_R/OCCIPITAL_R,0.18413666134341045,0.10203616262228798,[-0.04  0.39],0.15752006041915323,0.1628780937729253,[-0.06  0.36],82
TEMPORAL_L/TEMPORAL_R,0.006377242629594496,0.9552281859454059,[-0.21  0.23],-0.01367239672880371,0.90418959829803,[-0.23  0.21],82
TEMPORAL_L/PARIETAL_L,0.047570683220296665,0.6751971428372365,[-0.17  0.26],0.014225396997899608,0.900333847182659,[-0.21  0.23],82
TEMPORAL_L/PARIETAL_R,0.02943991342904511,0.7954573821518323,[-0.19  0.25],-0.002981239364491462,0.9790616050075205,[-0.22  0.22],82
TEMPORAL_L/OCCIPITAL_L,0.11209231132377862,0.3222088092449464,[-0.11  0.32],0.11534356271646792,0.308282432105897,[-0.11  0.33],82
TEMPORAL_L/OCCIPITAL_R,0.043119603164379856,0.7041085479715257,[-0.18  0.26],0.02096842908627049,0.8535303270770986,[-0.2   0.24],82
TEMPORAL_R/PARIETAL_L,-0.005219899141322232,0.9633471564423215,[-0.22  0.21],-0.020247811336099233,0.8585110156791449,[-0.24  0.2 ],82
TEMPORAL_R/PARIETAL_R,0.05398395656983539,0.6343629854250163,[-0.17  0.27],0.03462855425224191,0.7604087837142555,[-0.19  0.25],82
TEMPORAL_R/OCCIPITAL_L,0.04573162665772681,0.6870884905087259,[-0.18  0.26],0.06625754697310493,0.5592602004781697,[-0.16  0.28],82
TEMPORAL_R/OCCIPITAL_R,-0.020648907635559703,0.8557380668147699,[-0.24  0.2 ],-0.027368513400082325,0.8095676000234382,[-0.25  0.19],82
PARIETAL_L/PARIETAL_R,0.06957878122211157,0.5396906155813406,[-0.15  0.28],0.048776709856784686,0.6674416906409614,[-0.17  0.27],82
PARIETAL_L/OCCIPITAL_L,0.01724183920881519,0.8793448186840401,[-0.2   0.24],-0.02398023472637011,0.8327777247154118,[-0.24  0.2 ],82
PARIETAL_L/OCCIPITAL_R,0.014536779178691108,0.8981637679826624,[-0.21  0.23],-0.020847716466420207,0.8543642620394838,[-0.24  0.2 ],82
PARIETAL_R/OCCIPITAL_L,0.11470818434066152,0.3109728365247058,[-0.11  0.33],0.10991442641682848,0.33175914212167057,[-0.11  0.32],82
PARIETAL_R/OCCIPITAL_R,0.029545060861955665,0.7947428311082705,[-0.19  0.25],0.037031757323802844,0.7443327726181709,[-0.18  0.25],82
OCCIPITAL_L/OCCIPITAL_R,0.16180856060407753,0.15158640339119325,[-0.06  0.37],0.12815096499856812,0.25727487675615773,[-0.09  0.34],82
