region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.01148214663224145,0.9194818630821635,[-0.21  0.23],-0.0064406291450952715,0.9547836422752723,[-0.23  0.21],82
FRONTAL_L/TEMPORAL_L,-0.06320671764921364,0.5775288618997496,[-0.28  0.16],-0.04957493903343411,0.6623276409662673,[-0.27  0.17],82
FRONTAL_L/TEMPORAL_R,-0.0912086242377946,0.4210306568998542,[-0.3   0.13],-0.13606391049359262,0.22880416456054467,[-0.35  0.09],82
FRONTAL_L/PARIETAL_L,-0.0736444183513929,0.5162018523424671,[-0.29  0.15],-0.14874526056785373,0.18789962143084243,[-0.36  0.07],82
FRONTAL_L/PARIETAL_R,-0.07953196011399817,0.483133406172519,[-0.29  0.14],-0.06499665443492406,0.5667771329504974,[-0.28  0.16],82
FRONTAL_L/OCCIPITAL_L,-0.0533993420824224,0.6380427551547814,[-0.27  0.17],-0.09575804344140101,0.39813864679019817,[-0.31  0.13],82
FRONTAL_L/OCCIPITAL_R,-0.006559098817635896,0.953952825312538,[-0.23  0.21],0.008053017278376404,0.9434806156321366,[-0.21  0.23],82
FRONTAL_R/TEMPORAL_L,-0.019692746618543824,0.8623512317322835,[-0.24  0.2 ],-0.024936038803579127,0.8262149433105943,[-0.24  0.2 ],82
FRONTAL_R/TEMPORAL_R,-0.09033810897818677,0.4254956935359542,[-0.3   0.13],-0.08643565951192682,0.44584224270450945,[-0.3   0.14],82
FRONTAL_R/PARIETAL_L,-0.01330546720788279,0.9067492145128994,[-0.23  0.21],-0.027780606194485667,0.8067554586293928,[-0.25  0.19],82
FRONTAL_R/PARIETAL_R,-0.05742878994416828,0.6128619821742112,[-0.27  0.16],-0.07804080050299998,0.491400607218453,[-0.29  0.14],82
FRONTAL_R/OCCIPITAL_L,0.10425526114126807,0.3574041770806886,[-0.12  0.32],0.08821955949527958,0.43647468199019634,[-0.13  0.3 ],82
FRONTAL_R/OCCIPITAL_R,0.13749371601450408,0.22390412113068078,[-0.08  0.35],0.1406526415856763,0.21334032331513292,[-0.08  0.35],82
TEMPORAL_L/TEMPORAL_R,-0.07212371507227158,0.5249262995850957,[-0.29  0.15],-0.09226563748334893,0.41564545915054074,[-0.31  0.13],82
TEMPORAL_L/PARIETAL_L,-0.06809515323195008,0.5483908666099622,[-0.28  0.15],-0.09926555754895006,0.38100232262356293,[-0.31  0.12],82
TEMPORAL_L/PARIETAL_R,-0.01702618284830494,0.8808428193833103,[-0.24  0.2 ],-0.03867782194604623,0.7333838045069268,[-0.26  0.18],82
TEMPORAL_L/OCCIPITAL_L,-0.043555144616524356,0.701260151396036,[-0.26  0.18],-0.04715082439535538,0.6779050863729437,[-0.26  0.17],82
TEMPORAL_L/OCCIPITAL_R,-0.10759430275433543,0.34212846818115616,[-0.32  0.11],-0.12797172450633743,0.2579465224448479,[-0.34  0.09],82
TEMPORAL_R/PARIETAL_L,-0.07927838994418901,0.48453398804137904,[-0.29  0.14],-0.11378518066629663,0.3149081202952812,[-0.33  0.11],82
TEMPORAL_R/PARIETAL_R,-0.05618604997638997,0.6205822220546742,[-0.27  0.17],-0.07643453606072359,0.5003886115587441,[-0.29  0.15],82
TEMPORAL_R/OCCIPITAL_L,-0.05278258147199429,0.6419343645615927,[-0.27  0.17],-0.02797347948014591,0.8054401206512505,[-0.25  0.19],82
TEMPORAL_R/OCCIPITAL_R,-0.07432768994893978,0.5123059967601757,[-0.29  0.15],-0.09014809437832053,0.42647390593899426,[-0.3   0.13],82
PARIETAL_L/PARIETAL_R,0.01615918062554712,0.886869391994048,[-0.2   0.24],-0.00250850746264628,0.9823812045385936,[-0.22  0.22],82
PARIETAL_L/OCCIPITAL_L,-0.11397201081137841,0.3141089788811711,[-0.33  0.11],-0.15644797521901707,0.1657956989824289,[-0.36  0.07],82
PARIETAL_L/OCCIPITAL_R,-0.05861889916852043,0.6055079647456616,[-0.27  0.16],-0.07069442514651071,0.533193238662938,[-0.29  0.15],82
PARIETAL_R/OCCIPITAL_L,-0.006389677691609697,0.9551409750206281,[-0.23  0.21],-0.029699201516952874,0.7936956418500359,[-0.25  0.19],82
PARIETAL_R/OCCIPITAL_R,-0.07033914878563537,0.5352581093971689,[-0.29  0.15],-0.07350606727704177,0.5169925278402836,[-0.29  0.15],82
OCCIPITAL_L/OCCIPITAL_R,0.06532429715144754,0.5648192984454272,[-0.16  0.28],0.04478056510783022,0.6932681980003219,[-0.18  0.26],82
