region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.003219149505661733,0.9773910926523293,[-0.22  0.22],-0.011003162719848879,0.9228302062011643,[-0.23  0.21],82
FRONTAL_L/TEMPORAL_L,-0.0895133421703389,0.42975097614207214,[-0.3   0.13],-0.04481182569386789,0.6930647551949861,[-0.26  0.18],82
FRONTAL_L/TEMPORAL_R,-0.09586629310409772,0.39760306784290544,[-0.31  0.13],-0.09688673728755053,0.39257525473772237,[-0.31  0.13],82
FRONTAL_L/PARIETAL_L,-0.06790995954338018,0.5494816238126996,[-0.28  0.15],-0.11804321859574425,0.2970200505039448,[-0.33  0.1 ],82
FRONTAL_L/PARIETAL_R,-0.10558884060174877,0.351253416050606,[-0.32  0.12],-0.06679009682953196,0.5560996711104338,[-0.28  0.16],82
FRONTAL_L/OCCIPITAL_L,-0.04611851572849673,0.684580430740036,[-0.26  0.18],-0.0759626701369185,0.5030451330855515,[-0.29  0.15],82
FRONTAL_L/OCCIPITAL_R,-0.04221753336328038,0.7100209152190349,[-0.26  0.18],-0.00529188270931197,0.9628420616429367,[-0.22  0.21],82
FRONTAL_R/TEMPORAL_L,-0.0001652630823862421,0.9988391633000355,[-0.22  0.22],0.003513169386392273,0.9753267346717145,[-0.22  0.22],82
FRONTAL_R/TEMPORAL_R,-0.05683630567418623,0.6165374722509155,[-0.27  0.16],-0.037474538877013,0.7413824757194973,[-0.26  0.18],82
FRONTAL_R/PARIETAL_L,-0.01832589914673301,0.8718211974387176,[-0.24  0.2 ],-0.024306175553943685,0.8305384280451715,[-0.24  0.2 ],82
FRONTAL_R/PARIETAL_R,-0.07735615194056329,0.49522119500814366,[-0.29  0.14],-0.06320773491249952,0.5775227247889138,[-0.28  0.16],82
FRONTAL_R/OCCIPITAL_L,0.040723951922162306,0.7198477728951148,[-0.18  0.26],0.06697115855209662,0.5550270721178081,[-0.16  0.28],82
FRONTAL_R/OCCIPITAL_R,0.045460375590166795,0.6888489297134448,[-0.18  0.26],0.11093601733820636,0.3272571998804982,[-0.11  0.32],82
TEMPORAL_L/TEMPORAL_R,-0.08273013545459225,0.4656549396839824,[-0.3   0.14],-0.07156928792078252,0.5281254222223631,[-0.29  0.15],82
TEMPORAL_L/PARIETAL_L,-0.10271425466305246,0.3645938951628519,[-0.32  0.12],-0.057720295609626035,0.6110571108879601,[-0.27  0.16],82
TEMPORAL_L/PARIETAL_R,-0.047377738262486126,0.6764410613828744,[-0.26  0.17],-0.003176742240154078,0.9776888530403055,[-0.22  0.22],82
TEMPORAL_L/OCCIPITAL_L,-0.09868208863799872,0.3838217036060859,[-0.31  0.12],-0.09548178389605923,0.39950740647220007,[-0.31  0.13],82
TEMPORAL_L/OCCIPITAL_R,-0.14509655775207345,0.19908397617303097,[-0.35  0.08],-0.13019015556961738,0.24971742460471752,[-0.34  0.09],82
TEMPORAL_R/PARIETAL_L,-0.08427097818012608,0.4573586626273364,[-0.3   0.14],-0.14625192613241073,0.19549199767400904,[-0.35  0.08],82
TEMPORAL_R/PARIETAL_R,-0.1275583071732843,0.25950021371364895,[-0.34  0.09],-0.059801385566311704,0.598239696621763,[-0.28  0.16],82
TEMPORAL_R/OCCIPITAL_L,-0.09981253770653066,0.3783706159476161,[-0.31  0.12],-0.04768322738509176,0.6744719704679221,[-0.26  0.17],82
TEMPORAL_R/OCCIPITAL_R,-0.07024261303678704,0.5358198585148661,[-0.29  0.15],-0.082925798617095,0.4645969178222886,[-0.3   0.14],82
PARIETAL_L/PARIETAL_R,-0.032230792333569715,0.7765501722263762,[-0.25  0.19],-0.053475299613218966,0.6375641545857862,[-0.27  0.17],82
PARIETAL_L/OCCIPITAL_L,-0.13974234667884758,0.21634759093302972,[-0.35  0.08],-0.18655992910245886,0.09752703431607881,[-0.39  0.03],82
PARIETAL_L/OCCIPITAL_R,-0.08795349849324025,0.43786471487911993,[-0.3   0.13],-0.11709471743429567,0.30094584341478003,[-0.33  0.11],82
PARIETAL_R/OCCIPITAL_L,-0.06875989012257346,0.5444843468434482,[-0.28  0.15],-0.12433205603920754,0.27184322962697394,[-0.33  0.1 ],82
PARIETAL_R/OCCIPITAL_R,-0.08542072672555501,0.45122154720495,[-0.3   0.14],-0.13406501602406873,0.23577925068941438,[-0.34  0.09],82
OCCIPITAL_L/OCCIPITAL_R,-0.03270601856656931,0.7733432475846225,[-0.25  0.19],-0.019954488368362812,0.8605399679121614,[-0.24  0.2 ],82
