region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.06825943702951567,0.10661721408574884,[-0.15  0.01],-0.025806590612645234,0.5422379095005732,[-0.11  0.06],562
FRONTAL_L/TEMPORAL_L,-0.07274263272867793,0.08546198597696995,[-0.15  0.01],-0.026181367761227283,0.5363869252157425,[-0.11  0.06],562
FRONTAL_L/TEMPORAL_R,-0.07288814018815142,0.08483666280419759,[-0.15  0.01],-0.023896090250599092,0.5725487924115091,[-0.11  0.06],562
FRONTAL_L/PARIETAL_L,-0.06838285620500731,0.10598397594304716,[-0.15  0.01],-0.04463774250275624,0.29165993831111736,[-0.13  0.04],562
FRONTAL_L/PARIETAL_R,-0.06328748537172853,0.13470353912314126,[-0.15  0.02],-0.00967373322484697,0.8193227415438684,[-0.09  0.07],562
FRONTAL_L/OCCIPITAL_L,-0.07823504403941856,0.06430220674302006,[-0.16  0.  ],-0.03330640018457499,0.43149824823159366,[-0.12  0.05],562
FRONTAL_L/OCCIPITAL_R,-0.05731665556980241,0.1755952260033327,[-0.14  0.03],0.019389371696950392,0.6470572785171934,[-0.06  0.1 ],562
FRONTAL_R/TEMPORAL_L,-0.09581517561785484,0.02335642513301963,[-0.18 -0.01],-0.07658065008572108,0.0701656934826561,[-0.16  0.01],562
FRONTAL_R/TEMPORAL_R,-0.0746359644393263,0.07761003200413609,[-0.16  0.01],-0.044380182608797475,0.29445585424592374,[-0.13  0.04],562
FRONTAL_R/PARIETAL_L,-0.05607014454880749,0.18519122788440454,[-0.14  0.03],-0.03512949673665321,0.40670038426076704,[-0.12  0.05],562
FRONTAL_R/PARIETAL_R,-0.07332917386527243,0.08296382570651457,[-0.16  0.01],-0.04163566004827114,0.32535919561637927,[-0.12  0.04],562
FRONTAL_R/OCCIPITAL_L,-0.047615070416598154,0.26063199970705164,[-0.13  0.04],-0.001962404769455319,0.9630430422039704,[-0.08  0.08],562
FRONTAL_R/OCCIPITAL_R,-0.031976432235483083,0.45012729104710947,[-0.11  0.05],0.0013192149400780145,0.975151046043909,[-0.08  0.08],562
TEMPORAL_L/TEMPORAL_R,-0.07244425659619923,0.086755889018395,[-0.15  0.01],-0.03964994709972191,0.3489845382551011,[-0.12  0.04],562
TEMPORAL_L/PARIETAL_L,-0.08564401337080224,0.04277480862105506,[-0.17 -0.  ],-0.04245168665887883,0.3159584945999925,[-0.12  0.04],562
TEMPORAL_L/PARIETAL_R,-0.08396651547085227,0.047024556458232745,[-0.17 -0.  ],-0.04790000415334881,0.2577867230647273,[-0.13  0.04],562
TEMPORAL_L/OCCIPITAL_L,-0.12281173493034749,0.0036051829541193063,[-0.2  -0.04],-0.07082969160312197,0.0940334019142568,[-0.15  0.01],562
TEMPORAL_L/OCCIPITAL_R,-0.091728199611975,0.029975606112990383,[-0.17 -0.01],-0.053458868447891106,0.20653730274765472,[-0.14  0.03],562
TEMPORAL_R/PARIETAL_L,-0.06567231459715449,0.12059185587662048,[-0.15  0.02],-0.03514978797409529,0.40642924182791507,[-0.12  0.05],562
TEMPORAL_R/PARIETAL_R,-0.09634759569622825,0.022595079691155644,[-0.18 -0.01],-0.060202661587291866,0.1548050443391119,[-0.14  0.02],562
TEMPORAL_R/OCCIPITAL_L,-0.07995792293279959,0.058630971161592445,[-0.16  0.  ],-0.042566340868848064,0.31465206148881913,[-0.12  0.04],562
TEMPORAL_R/OCCIPITAL_R,-0.0662989714036959,0.11708221831888027,[-0.15  0.02],-0.038079098243711654,0.36842436949665924,[-0.12  0.04],562
PARIETAL_L/PARIETAL_R,-0.09784238732288157,0.020571454553667212,[-0.18 -0.02],-0.059126861469644396,0.16232543234212296,[-0.14  0.02],562
PARIETAL_L/OCCIPITAL_L,-0.06703849525604295,0.11304391851441761,[-0.15  0.02],-0.031060786765715623,0.46321268373500646,[-0.11  0.05],562
PARIETAL_L/OCCIPITAL_R,-0.0811782268126723,0.05486994841154926,[-0.16  0.  ],-0.05380369870854547,0.20362054938438065,[-0.14  0.03],562
PARIETAL_R/OCCIPITAL_L,-0.07712761538597805,0.06818054327160483,[-0.16  0.01],-0.021054030796511965,0.619068362944794,[-0.1   0.06],562
PARIETAL_R/OCCIPITAL_R,-0.05457075570203626,0.19723986889361295,[-0.14  0.03],-0.007375334139974425,0.8617517854727702,[-0.09  0.08],562
OCCIPITAL_L/OCCIPITAL_R,-0.09294595698628637,0.02785298172830643,[-0.17 -0.01],-0.05751584743098173,0.17409670575386763,[-0.14  0.03],562
