region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.043364008888357376,0.32696839805903344,[-0.04  0.13],0.029812979790005936,0.5004691451341087,[-0.06  0.12],515
FRONTAL_L/TEMPORAL_L,0.024748217180144055,0.5759889789141899,[-0.06  0.11],-0.02203247246738192,0.6185773060843218,[-0.11  0.06],515
FRONTAL_L/TEMPORAL_R,0.061155954286670505,0.16664405260009738,[-0.03  0.15],0.02289781851125288,0.6048581597735218,[-0.06  0.11],515
FRONTAL_L/PARIETAL_L,0.05501017895579461,0.21355261285011437,[-0.03  0.14],0.03883914737399284,0.38001277076179707,[-0.05  0.12],515
FRONTAL_L/PARIETAL_R,0.05493207386936665,0.21420441478922442,[-0.03  0.14],0.021766784583622717,0.6228165467365544,[-0.06  0.11],515
FRONTAL_L/OCCIPITAL_L,0.043618582710800886,0.3241338033355051,[-0.04  0.13],0.02457871563568459,0.5786063083731584,[-0.06  0.11],515
FRONTAL_L/OCCIPITAL_R,0.034067457640079096,0.441328217260165,[-0.05  0.12],0.008525059613369204,0.847255915038337,[-0.08  0.1 ],515
FRONTAL_R/TEMPORAL_L,0.04505462331159854,0.3084438257681416,[-0.04  0.13],-0.0007720998426360504,0.9860815927435918,[-0.09  0.09],515
FRONTAL_R/TEMPORAL_R,0.055547875279806966,0.20910413513934847,[-0.03  0.14],-0.0070925492087676595,0.8726818886076861,[-0.09  0.08],515
FRONTAL_R/PARIETAL_L,0.07933498594949416,0.0725986919159162,[-0.01  0.16],0.03129814264140778,0.47936053467415307,[-0.06  0.12],515
FRONTAL_R/PARIETAL_R,0.03515094571244526,0.4269306686235441,[-0.05  0.12],-0.014371402094052422,0.7453870485377999,[-0.1   0.07],515
FRONTAL_R/OCCIPITAL_L,0.03320394668680826,0.4529986033734025,[-0.05  0.12],-0.017159816639223932,0.6982071337951401,[-0.1   0.07],515
FRONTAL_R/OCCIPITAL_R,0.05223064463401031,0.2376350840638483,[-0.03  0.14],-0.008643440304575567,0.8451614469212725,[-0.1   0.08],515
TEMPORAL_L/TEMPORAL_R,0.06379225568880145,0.14907451523329937,[-0.02  0.15],-0.00027459971517158357,0.995049656410262,[-0.09  0.09],515
TEMPORAL_L/PARIETAL_L,0.055137739074472183,0.21249116969737633,[-0.03  0.14],-0.005550892100835263,0.9001916698349961,[-0.09  0.08],515
TEMPORAL_L/PARIETAL_R,0.08037878247825042,0.06890492572110458,[-0.01  0.17],0.014998040265220846,0.734693675141054,[-0.07  0.1 ],515
TEMPORAL_L/OCCIPITAL_L,0.018831142031283964,0.6704625205548701,[-0.07  0.11],-0.029995932859416072,0.4978425641094715,[-0.12  0.06],515
TEMPORAL_L/OCCIPITAL_R,0.003099742061115699,0.9441645898501241,[-0.08  0.09],-0.05596087511299116,0.2057330321836386,[-0.14  0.03],515
TEMPORAL_R/PARIETAL_L,0.06826269316464578,0.12255293812265519,[-0.02  0.15],0.006957089943811552,0.8750934155098187,[-0.08  0.09],515
TEMPORAL_R/PARIETAL_R,0.08012013370824818,0.06980556470854012,[-0.01  0.17],0.02123822981442567,0.6312870806751002,[-0.07  0.11],515
TEMPORAL_R/OCCIPITAL_L,0.08424217411399301,0.0565491451583865,[-0.    0.17],0.036319802304470204,0.4117091291888285,[-0.05  0.12],515
TEMPORAL_R/OCCIPITAL_R,0.053111384042888427,0.22980562587124728,[-0.03  0.14],-0.006142017629767101,0.8896274709790302,[-0.09  0.08],515
PARIETAL_L/PARIETAL_R,0.0913925630475585,0.038519923455668736,[0.   0.18],0.03956649534635185,0.37114769556341287,[-0.05  0.13],515
PARIETAL_L/OCCIPITAL_L,0.060341317213816595,0.17237545796720913,[-0.03  0.15],0.020928714831728864,0.6362699215891139,[-0.07  0.11],515
PARIETAL_L/OCCIPITAL_R,0.03392661580138815,0.4432198975228271,[-0.05  0.12],-0.01757161959888473,0.6913318687953591,[-0.1   0.07],515
PARIETAL_R/OCCIPITAL_L,0.049195950495931264,0.26604388383711114,[-0.04  0.14],-0.008435712303235015,0.8488374191747378,[-0.09  0.08],515
PARIETAL_R/OCCIPITAL_R,0.04468941998335787,0.3123856804442379,[-0.04  0.13],-0.01976787897122741,0.6551031650390495,[-0.11  0.07],515
OCCIPITAL_L/OCCIPITAL_R,0.07097221761690306,0.10836416191347562,[-0.02  0.16],0.023810536831191418,0.5905373057093337,[-0.06  0.11],515
