region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.08975820835587342,0.028983935265407847,[-0.17 -0.01],-0.08919377305321352,0.03001307502041601,[-0.17 -0.01],594
FRONTAL_L/TEMPORAL_L,-0.06806961242099181,0.09800074621105752,[-0.15  0.01],-0.04673735183288921,0.25621366113239785,[-0.13  0.03],594
FRONTAL_L/TEMPORAL_R,-0.07213440130901383,0.07948513073142267,[-0.15  0.01],-0.054593092815133554,0.1846777050998229,[-0.13  0.03],594
FRONTAL_L/PARIETAL_L,-0.09783831909546722,0.017256671038633466,[-0.18 -0.02],-0.09723586785439232,0.017959097400546308,[-0.18 -0.02],594
FRONTAL_L/PARIETAL_R,-0.05453679666625137,0.18513158414399764,[-0.13  0.03],-0.04279734506339131,0.2985351391152187,[-0.12  0.04],594
FRONTAL_L/OCCIPITAL_L,-0.05755625016912756,0.1619318328434312,[-0.14  0.02],-0.050756750365881814,0.21751987195895497,[-0.13  0.03],594
FRONTAL_L/OCCIPITAL_R,-0.06728189087365123,0.10195838001163537,[-0.15  0.01],-0.05526795015254613,0.17930057205052524,[-0.14  0.03],594
FRONTAL_R/TEMPORAL_L,-0.0532493345770298,0.19573730353547347,[-0.13  0.03],-0.0358900824271239,0.3833837347556531,[-0.12  0.04],594
FRONTAL_R/TEMPORAL_R,-0.06464856369704322,0.11611601705209756,[-0.14  0.02],-0.05083622584537606,0.21679954072533997,[-0.13  0.03],594
FRONTAL_R/PARIETAL_L,-0.07334491150072105,0.07455550195472725,[-0.15  0.01],-0.07341215306208078,0.07428914308110007,[-0.15  0.01],594
FRONTAL_R/PARIETAL_R,-0.08120020795031262,0.04829396758562908,[-0.16 -0.  ],-0.07652680796029501,0.06277643464741137,[-0.16  0.  ],594
FRONTAL_R/OCCIPITAL_L,-0.08235533606521582,0.045181565181050896,[-0.16 -0.  ],-0.07423914288131506,0.0710762511192201,[-0.15  0.01],594
FRONTAL_R/OCCIPITAL_R,-0.08490106218813089,0.03891393936490316,[-0.16 -0.  ],-0.08806426385748854,0.03216685776916068,[-0.17 -0.01],594
TEMPORAL_L/TEMPORAL_R,-0.06881089320164084,0.09438917561402516,[-0.15  0.01],-0.056267414917733106,0.1715516306814088,[-0.14  0.02],594
TEMPORAL_L/PARIETAL_L,-0.0540973867589496,0.18870257515174707,[-0.13  0.03],-0.046038710393129234,0.26339802033135096,[-0.13  0.03],594
TEMPORAL_L/PARIETAL_R,-0.07825830010887683,0.05704034733088364,[-0.16  0.  ],-0.07359004047763451,0.07358822993622724,[-0.15  0.01],594
TEMPORAL_L/OCCIPITAL_L,-0.04934966524254289,0.23055828762781222,[-0.13  0.03],-0.027939236455323285,0.4974631840970495,[-0.11  0.05],594
TEMPORAL_L/OCCIPITAL_R,-0.03300916870387687,0.42274460957570836,[-0.11  0.05],-0.012274303926050417,0.7656827631684004,[-0.09  0.07],594
TEMPORAL_R/PARIETAL_L,-0.05789260135137522,0.15948945164748446,[-0.14  0.02],-0.04612842326700265,0.2624677918587481,[-0.13  0.03],594
TEMPORAL_R/PARIETAL_R,-0.055102239103538786,0.18061004522095894,[-0.14  0.03],-0.043583732979368614,0.2897365082571429,[-0.12  0.04],594
TEMPORAL_R/OCCIPITAL_L,-0.038625010175105036,0.3481668738584647,[-0.12  0.04],-0.03014995497277309,0.4640488984784161,[-0.11  0.05],594
TEMPORAL_R/OCCIPITAL_R,-0.06050851896686323,0.14143402857245557,[-0.14  0.02],-0.04969793233060074,0.2272806928548418,[-0.13  0.03],594
PARIETAL_L/PARIETAL_R,-0.049148100814689816,0.23247048148490929,[-0.13  0.03],-0.028468690948337733,0.489346066585855,[-0.11  0.05],594
PARIETAL_L/OCCIPITAL_L,-0.08307469680613463,0.04332987562721259,[-0.16 -0.  ],-0.07856742508146818,0.056063494365659855,[-0.16  0.  ],594
PARIETAL_L/OCCIPITAL_R,-0.06937136958434123,0.09172978291403627,[-0.15  0.01],-0.06393965639283587,0.12017932404042754,[-0.14  0.02],594
PARIETAL_R/OCCIPITAL_L,-0.037473544906860924,0.36273637520657365,[-0.12  0.04],-0.030891664028514582,0.45312396790371134,[-0.11  0.05],594
PARIETAL_R/OCCIPITAL_R,-0.04448274350602149,0.2798932106170575,[-0.12  0.04],-0.02718221296712953,0.5091922735611376,[-0.11  0.05],594
OCCIPITAL_L/OCCIPITAL_R,-0.06512268223705371,0.1134591140983795,[-0.14  0.02],-0.04808989721055525,0.24269355912251084,[-0.13  0.03],594
