region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.05736170813936248,0.18279106384837499,[-0.03  0.14],0.043119341296328405,0.3167899868526789,[-0.04  0.13],543
FRONTAL_L/TEMPORAL_L,0.03271817709662083,0.44758429636862984,[-0.05  0.12],0.02613825072244607,0.5440781333367313,[-0.06  0.11],543
FRONTAL_L/TEMPORAL_R,0.053861283025749995,0.21101042330287192,[-0.03  0.14],0.04718211211054159,0.27329774821487773,[-0.04  0.13],543
FRONTAL_L/PARIETAL_L,0.05306478869749273,0.217848616249308,[-0.03  0.14],0.047291840619830945,0.27218250270098,[-0.04  0.13],543
FRONTAL_L/PARIETAL_R,0.06412209249378151,0.1363490950594071,[-0.02  0.15],0.05823965455995781,0.17617230325758432,[-0.03  0.14],543
FRONTAL_L/OCCIPITAL_L,0.038333959836308634,0.3735249814658388,[-0.05  0.12],0.014985231138541895,0.7280197385074343,[-0.07  0.1 ],543
FRONTAL_L/OCCIPITAL_R,0.051566750427578543,0.2311372200766241,[-0.03  0.14],0.03999606990109929,0.35314584629332935,[-0.04  0.12],543
FRONTAL_R/TEMPORAL_L,0.03858326932653108,0.3704227578223226,[-0.05  0.12],0.017024288187593335,0.6927782487641134,[-0.07  0.1 ],543
FRONTAL_R/TEMPORAL_R,0.07166860697291969,0.09586179714315182,[-0.01  0.16],0.062452310717609164,0.14687451494268752,[-0.02  0.15],543
FRONTAL_R/PARIETAL_L,0.039899038197236676,0.3543159222020329,[-0.04  0.12],0.02837458301616765,0.5101641895567215,[-0.06  0.11],543
FRONTAL_R/PARIETAL_R,0.07850366844256927,0.068070183724166,[-0.01  0.16],0.07660100294778976,0.07504501414439685,[-0.01  0.16],543
FRONTAL_R/OCCIPITAL_L,0.04632848959707399,0.2820800637908106,[-0.04  0.13],0.03328523695137124,0.4397483388129061,[-0.05  0.12],543
FRONTAL_R/OCCIPITAL_R,0.053286424863874825,0.215930033252884,[-0.03  0.14],0.05587153881318351,0.19444314410280714,[-0.03  0.14],543
TEMPORAL_L/TEMPORAL_R,0.05523711671019377,0.19956552478678297,[-0.03  0.14],0.04447927529445511,0.3017537905107086,[-0.04  0.13],543
TEMPORAL_L/PARIETAL_L,0.026702541567373263,0.5354163190751502,[-0.06  0.11],0.019714825433799467,0.6472836937377777,[-0.06  0.1 ],543
TEMPORAL_L/PARIETAL_R,0.06169375518538154,0.15185601942301782,[-0.02  0.15],0.05376606925422536,0.21181962400437027,[-0.03  0.14],543
TEMPORAL_L/OCCIPITAL_L,0.027476300797242947,0.5236529257348538,[-0.06  0.11],0.011282429668406337,0.793457157128712,[-0.07  0.1 ],543
TEMPORAL_L/OCCIPITAL_R,-0.0010277790269322728,0.9809720630923877,[-0.09  0.08],-0.019167776763363304,0.6564348221575167,[-0.1   0.07],543
TEMPORAL_R/PARIETAL_L,0.06436841161162829,0.13484684719276205,[-0.02  0.15],0.06014017087243063,0.16245754102897417,[-0.02  0.14],543
TEMPORAL_R/PARIETAL_R,0.041720905485555036,0.3327544196392035,[-0.04  0.13],0.030197941981441833,0.4833520312116747,[-0.05  0.11],543
TEMPORAL_R/OCCIPITAL_L,0.06595367052097723,0.12548207564910463,[-0.02  0.15],0.0657681666293154,0.12655108146255442,[-0.02  0.15],543
TEMPORAL_R/OCCIPITAL_R,0.06919404401436978,0.10791906882803558,[-0.02  0.15],0.07238417374528473,0.09258327528853619,[-0.01  0.16],543
PARIETAL_L/PARIETAL_R,0.06937092968083532,0.10701925557230797,[-0.02  0.15],0.07139621855166907,0.09713389624250539,[-0.01  0.15],543
PARIETAL_L/OCCIPITAL_L,0.05556870023746574,0.19687615946565054,[-0.03  0.14],0.05271357318704063,0.2209138705604469,[-0.03  0.14],543
PARIETAL_L/OCCIPITAL_R,0.030851013095055484,0.47393764695093765,[-0.05  0.11],0.024378821863082746,0.5715233049704521,[-0.06  0.11],543
PARIETAL_R/OCCIPITAL_L,0.06599622081322261,0.12523786277038435,[-0.02  0.15],0.05700726134966471,0.1855146690621436,[-0.03  0.14],543
PARIETAL_R/OCCIPITAL_R,0.06113963211583608,0.1555753419152729,[-0.02  0.14],0.06684532437708282,0.1204413771366277,[-0.02  0.15],543
OCCIPITAL_L/OCCIPITAL_R,-0.023460116659307046,0.5861103774704115,[-0.11  0.06],-0.039573055279563424,0.35826470707536173,[-0.12  0.04],543
