region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.1187600114783151,0.20821290149157823,[-0.3   0.07],-0.07971825882215992,0.3991609363403238,[-0.26  0.11],116
FRONTAL_L/TEMPORAL_L,-0.10435831716636956,0.2691671590445354,[-0.28  0.08],-0.08400420659903038,0.37421440433490594,[-0.26  0.1 ],116
FRONTAL_L/TEMPORAL_R,-0.06475934630370751,0.4936345240995961,[-0.25  0.12],-0.07448209386057782,0.43094137250428166,[-0.25  0.11],116
FRONTAL_L/PARIETAL_L,-0.11904912216435184,0.20709982827514328,[-0.3   0.07],-0.1326934957805395,0.15930973367622198,[-0.31  0.05],116
FRONTAL_L/PARIETAL_R,-0.10579773043127903,0.26258205892946457,[-0.28  0.08],-0.06604052295575655,0.48510739295134,[-0.25  0.12],116
FRONTAL_L/OCCIPITAL_L,-0.05418482723554358,0.5669286255373898,[-0.24  0.13],-0.028047982022759342,0.767055635501884,[-0.21  0.16],116
FRONTAL_L/OCCIPITAL_R,-0.0702256915299349,0.4578091630538894,[-0.25  0.12],-0.06201142083619079,0.5121875637439205,[-0.24  0.12],116
FRONTAL_R/TEMPORAL_L,-0.09619721641037988,0.308606970208031,[-0.28  0.09],-0.058193445118624475,0.5385481301069859,[-0.24  0.13],116
FRONTAL_R/TEMPORAL_R,-0.05779486128834678,0.541338275175598,[-0.24  0.13],-0.061561474293667214,0.5152592634021838,[-0.24  0.12],116
FRONTAL_R/PARIETAL_L,-0.10891125301632029,0.2487160966067953,[-0.29  0.08],-0.10727181558928603,0.25595298357835294,[-0.29  0.08],116
FRONTAL_R/PARIETAL_R,-0.11994563211278207,0.20367537614231246,[-0.3   0.07],-0.10212326198903761,0.2796121524357293,[-0.28  0.08],116
FRONTAL_R/OCCIPITAL_L,-0.13420507443211305,0.15456950664649968,[-0.31  0.05],-0.07901297109512108,0.4033586523341508,[-0.26  0.11],116
FRONTAL_R/OCCIPITAL_R,-0.12215904948562056,0.1953952167820577,[-0.3   0.06],-0.1117636748418964,0.23646386627847385,[-0.29  0.07],116
TEMPORAL_L/TEMPORAL_R,-0.07425080793700704,0.43237773059288687,[-0.25  0.11],-0.06126708705358304,0.5172740837608067,[-0.24  0.12],116
TEMPORAL_L/PARIETAL_L,-0.12185395146678991,0.19652185954273704,[-0.3   0.06],-0.12032309381381164,0.20224579441459736,[-0.3   0.07],116
TEMPORAL_L/PARIETAL_R,-0.0912001093347489,0.3345286270817005,[-0.27  0.09],-0.07956213365645023,0.4000879164839747,[-0.26  0.11],116
TEMPORAL_L/OCCIPITAL_L,-0.09951192645865599,0.29215562547178003,[-0.28  0.09],-0.08219299114573704,0.38463836653285766,[-0.26  0.1 ],116
TEMPORAL_L/OCCIPITAL_R,-0.062290986626061584,0.5102837782362248,[-0.24  0.12],-0.05141141902416792,0.5869688977044507,[-0.23  0.13],116
TEMPORAL_R/PARIETAL_L,-0.08489742021057717,0.36913784635830305,[-0.26  0.1 ],-0.09026647704451311,0.3395208918629907,[-0.27  0.1 ],116
TEMPORAL_R/PARIETAL_R,-0.08280646572613533,0.3810882229392135,[-0.26  0.1 ],-0.05784722807053639,0.5409712940820357,[-0.24  0.13],116
TEMPORAL_R/OCCIPITAL_L,-0.028631525596045156,0.7623517077549589,[-0.21  0.16],-0.014597843922458538,0.877489237432501,[-0.2   0.17],116
TEMPORAL_R/OCCIPITAL_R,-0.09988617925678794,0.2903353779412721,[-0.28  0.09],-0.10949554660316481,0.24617133639322103,[-0.29  0.08],116
PARIETAL_L/PARIETAL_R,-0.11109848253051122,0.23928275735344798,[-0.29  0.07],-0.12442956092939457,0.18715731737044125,[-0.3   0.06],116
PARIETAL_L/OCCIPITAL_L,-0.08165513073291139,0.3877672923238975,[-0.26  0.1 ],-0.0516797590564542,0.5850158349082131,[-0.23  0.13],116
PARIETAL_L/OCCIPITAL_R,-0.07016861508299732,0.4581756369673473,[-0.25  0.12],-0.08229570210027355,0.38404259722814804,[-0.26  0.1 ],116
PARIETAL_R/OCCIPITAL_L,-0.11490155747838363,0.2234790436199943,[-0.29  0.07],-0.08352587405466144,0.376950424482391,[-0.26  0.1 ],116
PARIETAL_R/OCCIPITAL_R,-0.13125263872176687,0.1639283896454883,[-0.31  0.05],-0.13229456360114045,0.16057867251869448,[-0.31  0.05],116
OCCIPITAL_L/OCCIPITAL_R,0.008916214544379967,0.9249885489052845,[-0.18  0.19],0.04112429313403928,0.6639746607692562,[-0.14  0.22],116
