feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,-0.08413230544741288,0.45810196154182237,[-0.3   0.14],-0.05056408203271137,0.6560118361773148,[-0.27  0.17],82.0
C3_delta_spectral_entropy,-0.16437796028931942,0.1451072598761669,[-0.37  0.06],-0.16049879939340705,0.15497117961121387,[-0.37  0.06],82.0
C3_delta_spectral_flatness,-0.16151050174129672,0.15235177202854477,[-0.37  0.06],-0.15172373856045598,0.17911249061460457,[-0.36  0.07],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,-0.18086207859176956,0.10838592644674086,[-0.39  0.04],-0.10214750448196068,0.3672602586548972,[-0.31  0.12],82.0
C3_theta_relative_power,-0.14935068864580936,0.18608869261186098,[-0.36  0.07],-0.17998124907016724,0.11014522406975115,[-0.38  0.04],82.0
C3_theta_spectral_entropy,-0.20600916613286915,0.06675489641499137,[-0.41  0.01],-0.17477285667881287,0.12100387584666311,[-0.38  0.05],82.0
C3_theta_spectral_flatness,-0.20422290538516988,0.06920502815505383,[-0.41  0.02],-0.17072086651206092,0.13000540354412743,[-0.38  0.05],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,-0.23886700668836247,0.03285426857967582,[-0.44 -0.02],-0.19867875787857603,0.07727394574116539,[-0.4   0.02],82.0
C3_lowalpha_relative_power,0.12069268279745377,0.28623272797719884,[-0.1   0.33],0.07940858360232304,0.4838146006160188,[-0.14  0.29],82.0
C3_lowalpha_spectral_entropy,0.11288089503573638,0.3187945848459029,[-0.11  0.32],0.20900612843625974,0.06280181605916592,[-0.01  0.41],82.0
C3_lowalpha_spectral_flatness,0.11255061395742819,0.3202217209708413,[-0.11  0.32],0.20952564251194866,0.06213626679555257,[-0.01  0.41],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
C3_lowalpha_spectral_diff,-0.116298737301653,0.30426639956128276,[-0.33  0.11],-0.1402238650173099,0.2147531312628327,[-0.35  0.08],82.0
C3_highalpha_relative_power,0.05462415016222652,0.6303435259203145,[-0.17  0.27],0.09019551644633655,0.4262296524805539,[-0.13  0.3 ],82.0
C3_highalpha_spectral_entropy,-0.024457560981011813,0.8294988291433332,[-0.24  0.2 ],0.03950553180441486,0.7278980807891788,[-0.18  0.26],82.0
C3_highalpha_spectral_flatness,-0.024048834695604836,0.8323063142214773,[-0.24  0.2 ],0.0360756131471606,0.7507161693522665,[-0.19  0.25],82.0
C3_highalpha_spectral_edge_frequency,,,,,,,82.0
C3_highalpha_spectral_diff,0.2400309370367804,0.031987115646930325,[0.02 0.44],0.21294487543302862,0.057897366537641874,[-0.01  0.41],82.0
C3_beta_relative_power,-0.04183977626957631,0.7125019379748048,[-0.26  0.18],-0.012536856890316658,0.9121139127143785,[-0.23  0.21],82.0
C3_beta_spectral_entropy,0.11009004144811864,0.3309824617154513,[-0.11  0.32],0.15673047849974506,0.1650231715280108,[-0.07  0.36],82.0
C3_beta_spectral_flatness,0.10064017941989521,0.3744094830412863,[-0.12  0.31],0.14417775619360015,0.2019740585188708,[-0.08  0.35],82.0
