feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,-0.19397036210689594,0.08470174105875213,[-0.4   0.03],-0.19303671326238925,0.08623981096345448,[-0.4   0.03],82.0
C3_delta_spectral_entropy,-0.2318148670639834,0.038540644945686445,[-0.43 -0.01],-0.22309312973398074,0.04668500854507369,[-0.42 -0.  ],82.0
C3_delta_spectral_flatness,-0.229472362862761,0.04060210941935946,[-0.43 -0.01],-0.2140611284759073,0.056565674624705416,[-0.41  0.01],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,-0.17241543124161043,0.1261808236606579,[-0.38  0.05],-0.1421186603952847,0.20855955793471334,[-0.35  0.08],82.0
C3_theta_relative_power,-0.22620059405913048,0.04363403338469429,[-0.42 -0.01],-0.2125700239482622,0.05835025429416106,[-0.41  0.01],82.0
C3_theta_spectral_entropy,-0.17970320686370003,0.11070513283838415,[-0.38  0.04],-0.14527360850400942,0.19853048759075978,[-0.35  0.08],82.0
C3_theta_spectral_flatness,-0.17890307734630867,0.1123286977308889,[-0.38  0.04],-0.14305719339216227,0.20553921539299685,[-0.35  0.08],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,-0.08437087540231328,0.4568236158902509,[-0.3   0.14],-0.07248856138212423,0.5228264057928065,[-0.29  0.15],82.0
C3_lowalpha_relative_power,-0.06386221261951407,0.5735805421347998,[-0.28  0.16],-0.09709567823925323,0.3915504673845167,[-0.31  0.13],82.0
C3_lowalpha_spectral_entropy,0.06520816554736825,0.5655128797325335,[-0.16  0.28],0.11561068681904482,0.3071558611918067,[-0.11  0.33],82.0
C3_lowalpha_spectral_flatness,0.06716566324580518,0.5538759435369269,[-0.15  0.28],0.11566680665255838,0.306919521296583,[-0.11  0.33],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
