feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,0.025345681479028045,0.5361754031827415,[-0.05  0.11],0.014623456252312974,0.7211865627132902,[-0.07  0.09],600.0
C3_delta_spectral_entropy,0.06464040487697675,0.11432153440221553,[-0.02  0.14],0.06951966863921626,0.08940681755354263,[-0.01  0.15],600.0
C3_delta_spectral_flatness,0.06340806910744547,0.12140624838685642,[-0.02  0.14],0.06853919913002803,0.09402787443378302,[-0.01  0.15],600.0
C3_delta_spectral_edge_frequency,,,,,,,600.0
C3_delta_spectral_diff,0.06144689585036167,0.13338160906409677,[-0.02  0.14],0.06342508072299727,0.12130616897022439,[-0.02  0.14],600.0
C3_theta_relative_power,-0.013883520426367833,0.7347497669257168,[-0.09  0.07],-0.015196387878826538,0.7107440899261352,[-0.1   0.07],600.0
C3_theta_spectral_entropy,-0.0186843784282051,0.6483955004440753,[-0.1   0.06],0.0206543479743053,0.6142057194948726,[-0.06  0.1 ],600.0
C3_theta_spectral_flatness,-0.018461861487204138,0.6523060795548573,[-0.1   0.06],0.02215224414208287,0.5887524701743215,[-0.06  0.1 ],600.0
C3_theta_spectral_edge_frequency,,,,,,,600.0
C3_theta_spectral_diff,-0.0028268392242772745,0.9450030427472662,[-0.08  0.08],-0.018932374170560883,0.6440485229063184,[-0.1   0.06],600.0
C3_lowalpha_relative_power,0.016320975937226475,0.690405203453403,[-0.06  0.1 ],0.021390371530453034,0.6016381281626284,[-0.06  0.1 ],600.0
C3_lowalpha_spectral_entropy,0.003862376536524458,0.9249078381826764,[-0.08  0.08],0.016562843690445576,0.6860592578722005,[-0.06  0.1 ],600.0
C3_lowalpha_spectral_flatness,0.004218212862782408,0.9180129951828043,[-0.08  0.08],0.016393322432529105,0.6891041864373273,[-0.06  0.1 ],600.0
C3_lowalpha_spectral_edge_frequency,,,,,,,600.0
C3_lowalpha_spectral_diff,-0.022381579226187,0.5848987312602334,[-0.1   0.06],-0.027718572223805346,0.4986960849539711,[-0.11  0.05],600.0
C3_highalpha_relative_power,0.07135149503347996,0.08126306687183692,[-0.01  0.15],0.06070729462948848,0.1381274944726166,[-0.02  0.14],600.0
C3_highalpha_spectral_entropy,0.007387760323388048,0.8569288018383767,[-0.07  0.09],0.05749550058590316,0.1602541895757325,[-0.02  0.14],600.0
C3_highalpha_spectral_flatness,0.006893558283316597,0.8664065682158202,[-0.07  0.09],0.057952773032567344,0.1569501041530394,[-0.02  0.14],600.0
C3_highalpha_spectral_edge_frequency,,,,,,,600.0
C3_highalpha_spectral_diff,0.01446035309994473,0.7241689502366473,[-0.07  0.09],0.01906001312681913,0.6418159243960038,[-0.06  0.1 ],600.0
C3_beta_relative_power,0.04425835088909195,0.2798926865768452,[-0.04  0.12],0.039891146022603505,0.33013289744921104,[-0.04  0.12],600.0
C3_beta_spectral_entropy,0.012951875354465797,0.7519446503914726,[-0.07  0.09],0.03169386330259667,0.4391580972615071,[-0.05  0.11],600.0
C3_beta_spectral_flatness,0.011141380123923489,0.7857065059786859,[-0.07  0.09],0.03057295752920029,0.45552096883103754,[-0.05  0.11],600.0
C3_beta_spectral_edge_frequency,,,,,,,600.0
C3_beta_spectral_diff,0.08853762183244822,0.030401078553660203,[0.01 0.17],0.07269865891738064,0.07566582240548346,[-0.01  0.15],600.0
C3_lowgamma_relative_power,-0.02502999363083111,0.541266136746142,[-0.1   0.06],-0.019663069426427652,0.6313114558537365,[-0.1   0.06],600.0
C3_lowgamma_spectral_entropy,-0.005433212756631044,0.8945200304092706,[-0.09  0.07],-0.02145729416804051,0.6005011853551647,[-0.1   0.06],600.0
C3_lowgamma_spectral_flatness,-0.005901931526805261,0.8854804599754628,[-0.09  0.07],-0.021775662469044207,0.5951057728439837,[-0.1   0.06],600.0
C3_lowgamma_spectral_edge_frequency,,,,,,,600.0
C3_lowgamma_spectral_diff,-0.028601592132150824,0.4851122535642234,[-0.11  0.05],-0.01831289217897711,0.6549294573427341,[-0.1   0.06],600.0
C4_delta_relative_power,0.04450385205205566,0.2772312030456531,[-0.04  0.12],0.023047494734723836,0.5737755352240745,[-0.06  0.1 ],600.0
C4_delta_spectral_entropy,0.03173678601318451,0.43853828336697465,[-0.05  0.11],0.04304650919898904,0.2932835391556955,[-0.04  0.12],600.0
C4_delta_spectral_flatness,0.032576219238870496,0.426517880515227,[-0.05  0.11],0.04291142235189254,0.29480238231594263,[-0.04  0.12],600.0
