feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,0.169521318858974,0.13276563629062144,[-0.05  0.38],0.08518659618650067,0.4524675683057119,[-0.14  0.3 ],82.0
C3_delta_spectral_entropy,0.20331853265996203,0.07047285056695031,[-0.02  0.4 ],0.15171804341592865,0.17912900144031235,[-0.07  0.36],82.0
C3_delta_spectral_flatness,0.20086158462788742,0.0740117116870487,[-0.02  0.4 ],0.14362615780986374,0.2037234472868315,[-0.08  0.35],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,0.12172604225911872,0.2820966548256402,[-0.1   0.33],0.034716255691684975,0.7598202782840144,[-0.19  0.25],82.0
C3_theta_relative_power,0.23031955438761295,0.03984622425948391,[0.01 0.43],0.14992165717809294,0.18439245983391003,[-0.07  0.36],82.0
C3_theta_spectral_entropy,0.20419081271340778,0.0692497016838581,[-0.02  0.41],0.24211700766284297,0.030481072302435776,[0.02 0.44],82.0
C3_theta_spectral_flatness,0.20316158960700934,0.07069475652692105,[-0.02  0.4 ],0.24291763395597385,0.029919139112376803,[0.02 0.44],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,0.08785950784044333,0.4383563642768894,[-0.13  0.3 ],0.15715019379959003,0.16388033831762125,[-0.06  0.36],82.0
C3_lowalpha_relative_power,0.029626429685467,0.794189988354107,[-0.19  0.25],-0.1015488127718987,0.3700898005460157,[-0.31  0.12],82.0
C3_lowalpha_spectral_entropy,-0.03581692734742595,0.7524461044485252,[-0.25  0.19],-0.23948379160093164,0.032392324248288466,[-0.44 -0.02],82.0
C3_lowalpha_spectral_flatness,-0.03703408873107191,0.7443172285407278,[-0.25  0.18],-0.23985472875052327,0.032117145456501905,[-0.44 -0.02],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
C3_lowalpha_spectral_diff,0.12403710180552222,0.27299100821154276,[-0.1   0.33],0.1358949041641119,0.22938827019521418,[-0.09  0.35],82.0
C3_highalpha_relative_power,0.041664336126398006,0.7136552062285102,[-0.18  0.26],-0.11341402814285906,0.31649956001179924,[-0.33  0.11],82.0
C3_highalpha_spectral_entropy,0.1154979426278307,0.30763102280378773,[-0.11  0.33],-0.0006154804133299011,0.9956767775325708,[-0.22  0.22],82.0
C3_highalpha_spectral_flatness,0.11565516868389028,0.3069685230702143,[-0.11  0.33],0.0011568130057610032,0.991874478710344,[-0.22  0.22],82.0
C3_highalpha_spectral_edge_frequency,,,,,,,82.0
C3_highalpha_spectral_diff,-0.12848368142216227,0.25603128678085124,[-0.34  0.09],-0.21443763632528162,0.05612217869677919,[-0.41  0.01],82.0
C3_beta_relative_power,-0.01745625369820119,0.877855864047392,[-0.24  0.2 ],0.0036326004702660823,0.9744882365142595,[-0.22  0.22],82.0
C3_beta_spectral_entropy,-0.08277099167725167,0.46543390685629704,[-0.3   0.14],-0.2055047914826346,0.06743951833203081,[-0.41  0.01],82.0
C3_beta_spectral_flatness,-0.07521733249482601,0.5072560908922586,[-0.29  0.15],-0.20106773491153837,0.07370941339249303,[-0.4   0.02],82.0
C3_beta_spectral_edge_frequency,,,,,,,82.0
C3_beta_spectral_diff,-0.17665180255549698,0.11699565349188158,[-0.38  0.04],-0.28125197873771196,0.011496320367680281,[-0.47 -0.07],82.0
C3_lowgamma_relative_power,-0.10457033646455066,0.3559450149364142,[-0.32  0.12],0.019140687017823,0.8661738239228046,[-0.2   0.24],82.0
