feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,0.043399154043030755,0.7022798430729468,[-0.18  0.26],0.10873008842916816,0.3370271606357157,[-0.11  0.32],82.0
C3_delta_spectral_entropy,0.03768661336171263,0.7399707189736817,[-0.18  0.26],0.04583708680458305,0.6864044948064211,[-0.18  0.26],82.0
C3_delta_spectral_flatness,0.038409268158140865,0.7351665575077282,[-0.18  0.26],0.04534134795626257,0.689621950374072,[-0.18  0.26],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,-0.05604875801312534,0.6214376575857374,[-0.27  0.17],-0.06806962482445268,0.5485411619574851,[-0.28  0.15],82.0
C3_theta_relative_power,0.036970007259365216,0.7447445129558964,[-0.18  0.25],0.05039542207182803,0.6570870632854788,[-0.17  0.27],82.0
C3_theta_spectral_entropy,0.03407850849635513,0.7641028601555284,[-0.19  0.25],0.19210940298693943,0.0877892537114879,[-0.03  0.4 ],82.0
C3_theta_spectral_flatness,0.034719121669388696,0.7598010489319635,[-0.19  0.25],0.1973768099694178,0.07927376167425011,[-0.02  0.4 ],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,-0.09320394631832021,0.4108986272288472,[-0.31  0.13],-0.13899379107215645,0.21884285686806973,[-0.35  0.08],82.0
C3_lowalpha_relative_power,0.03645920482266201,0.748153201989373,[-0.18  0.25],0.1264054684262483,0.26386629305830217,[-0.1   0.34],82.0
C3_lowalpha_spectral_entropy,-0.02721689718415616,0.8106028455999417,[-0.25  0.19],0.03514888794224571,0.7569191749252903,[-0.19  0.25],82.0
C3_lowalpha_spectral_flatness,-0.029519868485544505,0.7949140157340027,[-0.25  0.19],0.032938045469538255,0.7717788560005856,[-0.19  0.25],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
C3_lowalpha_spectral_diff,0.0038893721065198623,0.9726855967374695,[-0.22  0.22],-0.0037070645515939224,0.9739654552691887,[-0.22  0.22],82.0
C3_highalpha_relative_power,0.004504334115121096,0.9683688902913343,[-0.22  0.22],0.060718658855679786,0.5926284841296978,[-0.16  0.28],82.0
C3_highalpha_spectral_entropy,0.09045339174270293,0.42490283403773765,[-0.13  0.3 ],0.15144919387738862,0.17990968800246496,[-0.07  0.36],82.0
C3_highalpha_spectral_flatness,0.09030791829849973,0.42565103200308274,[-0.13  0.3 ],0.14953176022598286,0.18554954522499958,[-0.07  0.36],82.0
C3_highalpha_spectral_edge_frequency,,,,,,,82.0
C3_highalpha_spectral_diff,0.012735752676107086,0.910725285788921,[-0.21  0.23],0.03856345698707998,0.7341428269578298,[-0.18  0.26],82.0
