feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,-0.16892956295371,0.07111041976860072,[-0.34  0.01],-0.10918726714324661,0.2454027225946967,[-0.29  0.08],117.0
C3_delta_spectral_entropy,0.00395596276460505,0.9665308301757307,[-0.18  0.19],0.042040678341241554,0.6555190206223697,[-0.14  0.22],117.0
C3_delta_spectral_flatness,0.008927888921470955,0.924555566038311,[-0.17  0.19],0.04655689116690237,0.6212490154593231,[-0.14  0.23],117.0
C3_delta_spectral_edge_frequency,,,,,,,117.0
C3_delta_spectral_diff,0.04567138405271521,0.6279078564459823,[-0.14  0.23],0.07357606674862421,0.43453438129184385,[-0.11  0.25],117.0
C3_theta_relative_power,-0.34360136491561794,0.0001701885948465565,[-0.5  -0.17],-0.22775850766615147,0.01436433605796241,[-0.39 -0.05],117.0
C3_theta_spectral_entropy,-0.16644248975540557,0.07543327805360987,[-0.34  0.02],-0.10549831206767497,0.26181189521228315,[-0.28  0.08],117.0
C3_theta_spectral_flatness,-0.16693123751342098,0.07456746318503304,[-0.34  0.02],-0.10352098433514666,0.2709086675501755,[-0.28  0.08],117.0
C3_theta_spectral_edge_frequency,,,,,,,117.0
C3_theta_spectral_diff,-0.10100850971930524,0.2827723650755638,[-0.28  0.08],-0.10104057212426917,0.2826188139784804,[-0.28  0.08],117.0
C3_lowalpha_relative_power,-0.13743285975348996,0.1430130203546848,[-0.31  0.05],-0.1127503992759182,0.23024246800477788,[-0.29  0.07],117.0
C3_lowalpha_spectral_entropy,0.0246883171181587,0.7933982432438409,[-0.16  0.21],-0.004316315661056311,0.963484100876211,[-0.19  0.18],117.0
C3_lowalpha_spectral_flatness,0.02594319682313311,0.7831496293008832,[-0.16  0.21],-0.004364556080495511,0.9630762743769501,[-0.19  0.18],117.0
C3_lowalpha_spectral_edge_frequency,,,,,,,117.0
C3_lowalpha_spectral_diff,-0.07343222257392831,0.4354356010057926,[-0.25  0.11],-0.021778503139822155,0.8172957938376647,[-0.2   0.16],117.0
C3_highalpha_relative_power,-0.13209395234118465,0.15935336694584618,[-0.31  0.05],-0.07390019637300742,0.43250752895809363,[-0.25  0.11],117.0
C3_highalpha_spectral_entropy,-0.1928277200308425,0.038953653912477695,[-0.36 -0.01],-0.09236462282288127,0.3262080755854162,[-0.27  0.09],117.0
C3_highalpha_spectral_flatness,-0.19239126767111703,0.03940681443546111,[-0.36 -0.01],-0.09006279164358975,0.33846026620132463,[-0.27  0.09],117.0
C3_highalpha_spectral_edge_frequency,,,,,,,117.0
C3_highalpha_spectral_diff,0.07349171407663443,0.4350627429136391,[-0.11  0.25],0.04666270877963225,0.6204553169345571,[-0.14  0.23],117.0
C3_beta_relative_power,0.10006514755607136,0.28731522402597226,[-0.08  0.28],0.12210301726545016,0.1936096443931925,[-0.06  0.3 ],117.0
C3_beta_spectral_entropy,-0.16218145395197894,0.08332935172400723,[-0.34  0.02],-0.09806943145315462,0.2970851501375434,[-0.28  0.09],117.0
C3_beta_spectral_flatness,-0.16888694869734086,0.07118276414320684,[-0.34  0.01],-0.10321157588353043,0.2723512168919101,[-0.28  0.08],117.0
C3_beta_spectral_edge_frequency,,,,,,,117.0
C3_beta_spectral_diff,0.02779669050740639,0.7680802812247838,[-0.16  0.21],0.025465091068042962,0.7870500512998464,[-0.16  0.21],117.0
C3_lowgamma_relative_power,0.21579319614716166,0.020547124653637165,[0.03 0.38],0.19609524287797808,0.03569787514379169,[0.01 0.37],117.0
C3_lowgamma_spectral_entropy,-0.12589848525115532,0.18001687225643492,[-0.3   0.06],0.09812731937545956,0.29679871279065895,[-0.09  0.28],117.0
C3_lowgamma_spectral_flatness,-0.1322615653888341,0.15882003721963026,[-0.31  0.05],0.09613070374821789,0.306783568812611,[-0.09  0.27],117.0
C3_lowgamma_spectral_edge_frequency,,,,,,,117.0
C3_lowgamma_spectral_diff,0.05446003418928902,0.563218172724243,[-0.13  0.24],0.022165759794829154,0.8141051540205553,[-0.16  0.2 ],117.0
C4_delta_relative_power,-0.20274368826252787,0.02977629012116421,[-0.37 -0.02],-0.08747199927565324,0.3525944618136079,[-0.27  0.1 ],117.0
C4_delta_spectral_entropy,0.0182475625944918,0.8465190815259693,[-0.17  0.2 ],0.021277651184817465,0.8214267813534107,[-0.16  0.2 ],117.0
C4_delta_spectral_flatness,0.017622604432753434,0.8517144236420002,[-0.17  0.2 ],0.019072029258245398,0.8396752974738693,[-0.16  0.2 ],117.0
C4_delta_spectral_edge_frequency,,,,,,,117.0
C4_delta_spectral_diff,-0.11880961717915332,0.2059942271187076,[-0.3   0.07],-0.09956272201688725,0.2897544311701205,[-0.28  0.09],117.0
C4_theta_relative_power,-0.3767456261558358,3.324877632590306e-05,[-0.52 -0.21],-0.31154678331050806,0.0007008923669969377,[-0.47 -0.14],117.0
C4_theta_spectral_entropy,-0.18882923636962942,0.04327283817451635,[-0.36 -0.01],-0.034955899663137,0.7107279876572995,[-0.22  0.15],117.0
C4_theta_spectral_flatness,-0.19147218762535842,0.04037552949788438,[-0.36 -0.01],-0.03952626913238872,0.6749198253773913,[-0.22  0.14],117.0
C4_theta_spectral_edge_frequency,,,,,,,117.0
C4_theta_spectral_diff,0.039668240656675076,0.6738185463716067,[-0.14  0.22],0.1153941305352206,0.21942715358923712,[-0.07  0.29],117.0
C4_lowalpha_relative_power,-0.16899639828618657,0.07099707611305979,[-0.34  0.01],-0.16154211110901007,0.0845691329217498,[-0.33  0.02],117.0
C4_lowalpha_spectral_entropy,-0.03474874265451453,0.7123667737675818,[-0.22  0.15],-0.03897811539971922,0.6791783076746682,[-0.22  0.15],117.0
C4_lowalpha_spectral_flatness,-0.03450997938657902,0.7142572184973601,[-0.22  0.15],-0.03802496358852426,0.6866071726637365,[-0.22  0.15],117.0
C4_lowalpha_spectral_edge_frequency,,,,,,,117.0
C4_lowalpha_spectral_diff,-0.05246574708572227,0.57761636174506,[-0.23  0.13],-0.029949341316700274,0.7506870036513393,[-0.21  0.15],117.0
C4_highalpha_relative_power,-0.16036861203823674,0.08688300448908792,[-0.33  0.02],-0.15489281001743888,0.09835405766428996,[-0.33  0.03],117.0
C4_highalpha_spectral_entropy,-0.3347251130257527,0.00025581091000924204,[-0.49 -0.16],-0.2079761298378387,0.025722312615543218,[-0.38 -0.03],117.0
C4_highalpha_spectral_flatness,-0.33472173798558397,0.00025584996148531074,[-0.49 -0.16],-0.2025085647099221,0.029970515657177937,[-0.37 -0.02],117.0
C4_highalpha_spectral_edge_frequency,,,,,,,117.0
C4_highalpha_spectral_diff,-0.0032007431183785104,0.9729176103204271,[-0.19  0.18],0.0193653055173547,0.8372437048244168,[-0.16  0.2 ],117.0
C4_beta_relative_power,0.06849324419776659,0.4670183140980586,[-0.12  0.25],0.09645988560465106,0.3051224275779762,[-0.09  0.27],117.0
C4_beta_spectral_entropy,-0.13283382126517493,0.15700921317843783,[-0.31  0.05],-0.13654828432896973,0.1456289344649761,[-0.31  0.05],117.0
C4_beta_spectral_flatness,-0.1384575049767383,0.1400275355933193,[-0.31  0.05],-0.13564053541937537,0.1483507910083152,[-0.31  0.05],117.0
C4_beta_spectral_edge_frequency,,,,,,,117.0
C4_beta_spectral_diff,-0.020604605749574467,0.8269856908725384,[-0.2   0.16],-0.02056379690814351,0.8273230230371431,[-0.2   0.16],117.0
C4_lowgamma_relative_power,0.2107387080924861,0.023778821357555307,[0.03 0.38],0.2092745111206068,0.024792634088765853,[0.03 0.38],117.0
C4_lowgamma_spectral_entropy,-0.10449515067284748,0.266400612871092,[-0.28  0.08],0.037878524112253315,0.6877511954788595,[-0.15  0.22],117.0
C4_lowgamma_spectral_flatness,-0.11195414537679593,0.23357194946687992,[-0.29  0.07],0.03731854269244342,0.6921324023423446,[-0.15  0.22],117.0
C4_lowgamma_spectral_edge_frequency,,,,,,,117.0
C4_lowgamma_spectral_diff,0.15960209888099175,0.08842142489800267,[-0.02  0.33],0.1015216530256451,0.28032154966564093,[-0.08  0.28],117.0
Cz_delta_relative_power,0.043928845440576875,0.6410986484036039,[-0.14  0.23],0.09381926460996527,0.31861388075242536,[-0.09  0.27],117.0
Cz_delta_spectral_entropy,-0.02702426406410135,0.7743501438383896,[-0.21  0.16],-0.015663648833331403,0.8680396113778794,[-0.2   0.17],117.0
Cz_delta_spectral_flatness,-0.027867473472763634,0.7675064701472742,[-0.21  0.16],-0.016363527821289723,0.8622003390245325,[-0.2   0.17],117.0
Cz_delta_spectral_edge_frequency,,,,,,,117.0
Cz_delta_spectral_diff,0.026676562558317865,0.7771772451366608,[-0.16  0.21],0.03455970113763184,0.7138633957990799,[-0.15  0.22],117.0
Cz_theta_relative_power,-0.2252265542078895,0.01551705488176784,[-0.39 -0.04],-0.12308731954190869,0.1900151705378896,[-0.3   0.06],117.0
Cz_theta_spectral_entropy,-0.23710850690798999,0.010728439826364088,[-0.4  -0.06],-0.09190985296805171,0.3286058969050001,[-0.27  0.09],117.0
Cz_theta_spectral_flatness,-0.23922894944278555,0.010026270360045691,[-0.4  -0.06],-0.08942223029263846,0.3419210274601352,[-0.27  0.1 ],117.0
Cz_theta_spectral_edge_frequency,,,,,,,117.0
Cz_theta_spectral_diff,-0.040293989940067186,0.6689728253511551,[-0.22  0.14],0.011330999712240343,0.9043343381337904,[-0.17  0.19],117.0
Cz_lowalpha_relative_power,-0.062167473735152134,0.5092359888682936,[-0.24  0.12],-0.05731300634820979,0.5429224116160452,[-0.24  0.13],117.0
Cz_lowalpha_spectral_entropy,0.012492448195911192,0.8945822974467883,[-0.17  0.2 ],-0.027743555582445865,0.76851110866089,[-0.21  0.16],117.0
Cz_lowalpha_spectral_flatness,0.013040576145926195,0.8899853340365556,[-0.17  0.2 ],-0.027170885260723778,0.773158874077736,[-0.21  0.16],117.0
Cz_lowalpha_spectral_edge_frequency,,,,,,,117.0
Cz_lowalpha_spectral_diff,-0.19084023590357158,0.04105310431871292,[-0.36 -0.01],-0.18285413601139117,0.050465727258693215,[-0.35  0.  ],117.0
Cz_highalpha_relative_power,-0.0690804315371761,0.4631990819047661,[-0.25  0.12],-0.045341057481151595,0.6303995605172913,[-0.23  0.14],117.0
Cz_highalpha_spectral_entropy,-0.34955083934182485,0.0001286208863001787,[-0.5  -0.18],-0.08268459253135767,0.37966563987217294,[-0.26  0.1 ],117.0
Cz_highalpha_spectral_flatness,-0.34844382299389154,0.0001355578795319446,[-0.5  -0.18],-0.08007590261378261,0.3949334212747938,[-0.26  0.1 ],117.0
Cz_highalpha_spectral_edge_frequency,,,,,,,117.0
Cz_highalpha_spectral_diff,0.16648674826913673,0.07535454236630863,[-0.02  0.34],0.044687980739025496,0.635338022260818,[-0.14  0.23],117.0
