feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,0.22417609439280803,0.04560233996897566,[0.   0.42],0.26796234548881886,0.016255310011324513,[0.05 0.46],82.0
C3_delta_spectral_entropy,0.17533255842103326,0.11979904092182404,[-0.05  0.38],0.15998573964882526,0.15631229484389128,[-0.06  0.37],82.0
C3_delta_spectral_flatness,0.17490826084190583,0.1207115507879229,[-0.05  0.38],0.15767159595412758,0.1624687826949232,[-0.06  0.36],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,0.029324548334670075,0.7962415629912172,[-0.19  0.25],0.010608509557300194,0.9255900447778128,[-0.21  0.23],82.0
C3_theta_relative_power,0.19183809034457502,0.0882467291670985,[-0.03  0.39],0.12815253443325678,0.25726900106851863,[-0.09  0.34],82.0
C3_theta_spectral_entropy,0.03263062038154124,0.7738517984424502,[-0.19  0.25],0.11767201702728457,0.29855241484516404,[-0.1   0.33],82.0
C3_theta_spectral_flatness,0.033549431342623455,0.7676610883649454,[-0.19  0.25],0.12109373756530756,0.2846227412225652,[-0.1   0.33],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,-0.16385268626590183,0.14641460971195286,[-0.37  0.06],-0.15675564810905718,0.16495447238748295,[-0.36  0.07],82.0
C3_lowalpha_relative_power,0.27843633899604364,0.012388415223916179,[0.06 0.47],0.3031508252386196,0.006267847503605639,[0.09 0.49],82.0
C3_lowalpha_spectral_entropy,0.08393477337357909,0.45916189861647605,[-0.14  0.3 ],0.09676872615430919,0.393154764876546,[-0.13  0.31],82.0
C3_lowalpha_spectral_flatness,0.08107355194564984,0.47466508836950094,[-0.14  0.3 ],0.09510559501558548,0.40137573444955743,[-0.13  0.31],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
C3_lowalpha_spectral_diff,0.05883631847838495,0.6041686682455852,[-0.16  0.27],0.02518618536698454,0.8244993211353654,[-0.2   0.24],82.0
C3_highalpha_relative_power,0.1083622049261878,0.3386742082936469,[-0.11  0.32],0.10179333833325721,0.36893252111012365,[-0.12  0.31],82.0
C3_highalpha_spectral_entropy,0.14370406844641362,0.20347570074539187,[-0.08  0.35],0.17472856172719087,0.12109962235428114,[-0.05  0.38],82.0
C3_highalpha_spectral_flatness,0.14187751465692264,0.20934066955775832,[-0.08  0.35],0.17062718841649524,0.13021937753936075,[-0.05  0.38],82.0
C3_highalpha_spectral_edge_frequency,,,,,,,82.0
C3_highalpha_spectral_diff,0.10144771765307348,0.37056890437187406,[-0.12  0.31],0.1429893190160668,0.2057565942022269,[-0.08  0.35],82.0
C3_beta_relative_power,-0.09682688521629951,0.39286910319578006,[-0.31  0.13],-0.08786352297716846,0.4383353554064575,[-0.3   0.13],82.0
C3_beta_spectral_entropy,0.021749063590283318,0.848141280259864,[-0.2   0.24],-0.026202474986465114,0.8175376646794121,[-0.24  0.19],82.0
C3_beta_spectral_flatness,0.023432059135907374,0.8365468244992117,[-0.2   0.24],-0.025766103336040295,0.8205251464857419,[-0.24  0.2 ],82.0
C3_beta_spectral_edge_frequency,,,,,,,82.0
C3_beta_spectral_diff,-0.0027882690746458137,0.9804166337034343,[-0.22  0.22],-0.007395781414626663,0.9480866946000329,[-0.23  0.21],82.0
