feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_delta_relative_power,0.25020259295411196,0.02519560959179823,[0.03 0.45],0.21770935896975208,0.052386677151459796,[-0.    0.42],82.0
C3_delta_spectral_entropy,0.26237794694183314,0.018713081436664007,[0.05 0.46],0.23802369355625363,0.03349481245619435,[0.02 0.43],82.0
C3_delta_spectral_flatness,0.2600744091796947,0.019816131969616315,[0.04 0.45],0.23198264521266537,0.03839640571577724,[0.01 0.43],82.0
C3_delta_spectral_edge_frequency,,,,,,,82.0
C3_delta_spectral_diff,0.1445190944017586,0.20089690109176364,[-0.08  0.35],0.12054004399755817,0.2868470601971885,[-0.1   0.33],82.0
C3_theta_relative_power,0.29278121797985207,0.008400793673347694,[0.08 0.48],0.21225286724857506,0.0587356863094728,[-0.01  0.41],82.0
C3_theta_spectral_entropy,0.18169609418727695,0.10674030370611826,[-0.04  0.39],0.19582607420627687,0.08170933763857634,[-0.02  0.4 ],82.0
C3_theta_spectral_flatness,0.18093518819706755,0.1082408889944677,[-0.04  0.39],0.19588216201428413,0.08162022082648149,[-0.02  0.4 ],82.0
C3_theta_spectral_edge_frequency,,,,,,,82.0
C3_theta_spectral_diff,0.02294417589642217,0.839904471602563,[-0.2   0.24],-0.016336769424708856,0.8856344299878383,[-0.24  0.2 ],82.0
C3_lowalpha_relative_power,0.1608129935079146,0.1541541315659887,[-0.06  0.37],0.1616882786783753,0.1518949222608472,[-0.06  0.37],82.0
C3_lowalpha_spectral_entropy,0.025912498392453465,0.8195226116819823,[-0.19  0.24],-0.0669266628706226,0.5552905700059299,[-0.28  0.16],82.0
C3_lowalpha_spectral_flatness,0.024129916142419838,0.8317492088264509,[-0.2   0.24],-0.06764809105554591,0.5510257697076599,[-0.28  0.15],82.0
C3_lowalpha_spectral_edge_frequency,,,,,,,82.0
C3_lowalpha_spectral_diff,0.11625663027543043,0.3044427174846305,[-0.11  0.33],0.1222530898851608,0.28000250305138635,[-0.1   0.33],82.0
C3_highalpha_relative_power,0.12001806885334736,0.2889544696445532,[-0.1   0.33],-0.029456398724620927,0.7953453417921135,[-0.25  0.19],82.0
C3_highalpha_spectral_entropy,0.1533309867913808,0.17449714216168422,[-0.07  0.36],0.09399691134619555,0.4069118041196639,[-0.13  0.31],82.0
C3_highalpha_spectral_flatness,0.15298669982688853,0.17547838744260638,[-0.07  0.36],0.09183021560419935,0.41785896803790046,[-0.13  0.31],82.0
C3_highalpha_spectral_edge_frequency,,,,,,,82.0
C3_highalpha_spectral_diff,-0.06802779954936053,0.5487874462015037,[-0.28  0.15],-0.06945202422573435,0.5404312845857803,[-0.28  0.15],82.0
C3_beta_relative_power,-0.006318136820334274,0.9556427203829073,[-0.23  0.21],-0.05283119437009822,0.6416272768782941,[-0.27  0.17],82.0
C3_beta_spectral_entropy,0.0015791519557254302,0.9889081079043178,[-0.22  0.22],-0.11181549857648786,0.3234128152528042,[-0.32  0.11],82.0
C3_beta_spectral_flatness,0.00784329798178575,0.9449501886558248,[-0.21  0.23],-0.10518588582278726,0.3531049582390744,[-0.32  0.12],82.0
C3_beta_spectral_edge_frequency,,,,,,,82.0
C3_beta_spectral_diff,-0.07839019450577918,0.4894568602741961,[-0.29  0.14],-0.14870652846573695,0.18801590763473497,[-0.36  0.07],82.0
C3_lowgamma_relative_power,-0.23580687259570038,0.03522874989587955,[-0.43 -0.02],-0.17559738999903576,0.11923217571511996,[-0.38  0.05],82.0
C3_lowgamma_spectral_entropy,0.09052518610986676,0.42453385963073853,[-0.13  0.3 ],-0.021086891176986,0.8527120957548078,[-0.24  0.2 ],82.0
C3_lowgamma_spectral_flatness,0.09385682693751497,0.4076144618020324,[-0.13  0.31],-0.014114168656364499,0.9011091957484509,[-0.23  0.21],82.0
C3_lowgamma_spectral_edge_frequency,,,,,,,82.0
C3_lowgamma_spectral_diff,0.13179024536186038,0.24389485842106487,[-0.09  0.34],0.1400166804166004,0.21543816395775997,[-0.08  0.35],82.0
C4_delta_relative_power,0.1697529673104803,0.13222916137180454,[-0.05  0.38],0.22291427495218194,0.04686583897919114,[0.   0.42],82.0
C4_delta_spectral_entropy,0.2566769327552271,0.021544386126533328,[0.04 0.45],0.30503187715300495,0.005936929246646101,[0.09 0.49],82.0
C4_delta_spectral_flatness,0.2567592625535029,0.021501032365013873,[0.04 0.45],0.30854457364301413,0.0053600767340941475,[0.1  0.49],82.0
C4_delta_spectral_edge_frequency,,,,,,,82.0
C4_delta_spectral_diff,0.2517022287809285,0.024306199781690636,[0.03 0.45],0.19107658688877407,0.08954081591744527,[-0.03  0.39],82.0
C4_theta_relative_power,0.23049480591069535,0.039691331112037584,[0.01 0.43],0.18234811141715596,0.10546736425039048,[-0.04  0.39],82.0
C4_theta_spectral_entropy,0.21694170702511442,0.0532443114857959,[-0.    0.42],0.0904249936753276,0.42504883155673234,[-0.13  0.3 ],82.0
C4_theta_spectral_flatness,0.21658014301828285,0.05365222296690471,[-0.    0.42],0.09259433878920614,0.4139789821042299,[-0.13  0.31],82.0
C4_theta_spectral_edge_frequency,,,,,,,82.0
C4_theta_spectral_diff,-0.007523834114159189,0.9471891299491313,[-0.23  0.21],0.04776678402831772,0.6739337693297947,[-0.17  0.26],82.0
C4_lowalpha_relative_power,0.08311147589599972,0.46359410734903295,[-0.14  0.3 ],0.05036178837139582,0.6573015654498471,[-0.17  0.27],82.0
C4_lowalpha_spectral_entropy,-0.10948846330293802,0.3336478142094852,[-0.32  0.11],-0.07626400376125615,0.5013478354716169,[-0.29  0.15],82.0
C4_lowalpha_spectral_flatness,-0.11132827434244233,0.3255389876864996,[-0.32  0.11],-0.08287171689974683,0.4648892261027351,[-0.3   0.14],82.0
C4_lowalpha_spectral_edge_frequency,,,,,,,82.0
C4_lowalpha_spectral_diff,0.2606692691367188,0.019526081636719494,[0.04 0.45],0.14827559925077657,0.18931320967182608,[-0.07  0.36],82.0
C4_highalpha_relative_power,0.07608198705715859,0.5023727104454978,[-0.15  0.29],-0.044593056085877394,0.6944889549557152,[-0.26  0.18],82.0
C4_highalpha_spectral_entropy,0.16251316459837442,0.1497885137730237,[-0.06  0.37],0.07116158565500061,0.5304841209710414,[-0.15  0.29],82.0
C4_highalpha_spectral_flatness,0.16395823164143075,0.1461512118825968,[-0.06  0.37],0.07489518633930242,0.5090817331373001,[-0.15  0.29],82.0
C4_highalpha_spectral_edge_frequency,,,,,,,82.0
C4_highalpha_spectral_diff,-0.12494405787953149,0.26947204780828626,[-0.34  0.1 ],-0.16731110070746022,0.13796769156331412,[-0.37  0.05],82.0
C4_beta_relative_power,-0.06469608379753695,0.5685759989470414,[-0.28  0.16],-0.1474062582848898,0.19195000626302675,[-0.36  0.07],82.0
C4_beta_spectral_entropy,0.03454462109425368,0.7609721301151477,[-0.19  0.25],-0.0651275312319839,0.5659946938641269,[-0.28  0.16],82.0
C4_beta_spectral_flatness,0.0381283449121098,0.737032921511358,[-0.18  0.26],-0.06188262315227687,0.585542474143891,[-0.28  0.16],82.0
C4_beta_spectral_edge_frequency,,,,,,,82.0
C4_beta_spectral_diff,0.07137212806309524,0.5292654056400118,[-0.15  0.29],-0.019896229280321243,0.860943061335675,[-0.24  0.2 ],82.0
C4_lowgamma_relative_power,-0.27023102284876466,0.015339340544349885,[-0.46 -0.05],-0.1114963608449994,0.3248044787932236,[-0.32  0.11],82.0
C4_lowgamma_spectral_entropy,0.021445243589483375,0.8502378638114687,[-0.2   0.24],-0.006935351663094921,0.9513145281839446,[-0.23  0.21],82.0
C4_lowgamma_spectral_flatness,0.028702692218702187,0.8004720149609071,[-0.19  0.25],-0.0073499454693035675,0.9484079899928441,[-0.23  0.21],82.0
C4_lowgamma_spectral_edge_frequency,,,,,,,82.0
C4_lowgamma_spectral_diff,0.1234996932615075,0.2750906136860851,[-0.1   0.33],0.18275012812968122,0.1046884092225969,[-0.04  0.39],82.0
Cz_delta_relative_power,0.1442489084526129,0.2017491841826292,[-0.08  0.35],0.16064806565081424,0.15458261805237497,[-0.06  0.37],82.0
Cz_delta_spectral_entropy,0.16285407613828476,0.14892438062002156,[-0.06  0.37],0.24061736056187696,0.03155755709409083,[0.02 0.44],82.0
Cz_delta_spectral_flatness,0.16421740167913246,0.1455059388947937,[-0.06  0.37],0.2336307812065231,0.03700327107973403,[0.01 0.43],82.0
Cz_delta_spectral_edge_frequency,,,,,,,82.0
Cz_delta_spectral_diff,0.05954248033839656,0.5998277597065682,[-0.16  0.28],0.06907953100415724,0.542610724933395,[-0.15  0.28],82.0
Cz_theta_relative_power,-0.0468257570739729,0.6800044658765454,[-0.26  0.17],-0.1300386503047501,0.2502736311149515,[-0.34  0.09],82.0
Cz_theta_spectral_entropy,-0.18774655058839546,0.09537673683691363,[-0.39  0.03],-0.1521208446691915,0.1779639728136845,[-0.36  0.07],82.0
Cz_theta_spectral_flatness,-0.18777826952614987,0.09531977352950083,[-0.39  0.03],-0.15295969249481806,0.17555553087831563,[-0.36  0.07],82.0
Cz_theta_spectral_edge_frequency,,,,,,,82.0
Cz_theta_spectral_diff,0.07933489412647807,0.4842217033494277,[-0.14  0.29],0.1545872163536404,0.1709508570514299,[-0.07  0.36],82.0
Cz_lowalpha_relative_power,0.13836635747802226,0.22094993009769587,[-0.08  0.35],0.1301522734042811,0.24985641823203308,[-0.09  0.34],82.0
Cz_lowalpha_spectral_entropy,0.05826037433425694,0.6077193098843008,[-0.16  0.27],0.02266047335459042,0.8418582511201824,[-0.2   0.24],82.0
Cz_lowalpha_spectral_flatness,0.05651090759821343,0.6185601115145001,[-0.17  0.27],0.022841993837803498,0.8406080598658772,[-0.2   0.24],82.0
Cz_lowalpha_spectral_edge_frequency,,,,,,,82.0
Cz_lowalpha_spectral_diff,-0.01954490345745444,0.8633746269175854,[-0.24  0.2 ],-0.06711057028374057,0.5542018814048597,[-0.28  0.15],82.0
Cz_highalpha_relative_power,-0.036504130147596604,0.7478532113306742,[-0.25  0.18],-0.11446066237802988,0.3120250261394405,[-0.33  0.11],82.0
Cz_highalpha_spectral_entropy,-0.06320137260253933,0.5775611088584259,[-0.28  0.16],0.0039687196386533315,0.9721285725185189,[-0.22  0.22],82.0
Cz_highalpha_spectral_flatness,-0.0641443258715799,0.5718851271307818,[-0.28  0.16],0.0024482580507739953,0.9828043082833553,[-0.22  0.22],82.0
Cz_highalpha_spectral_edge_frequency,,,,,,,82.0
Cz_highalpha_spectral_diff,0.2640679556027092,0.017937700615850757,[0.05 0.46],0.23371959700196987,0.036929411482473175,[0.01 0.43],82.0
Cz_beta_relative_power,0.0629882457627884,0.5788475915751863,[-0.16  0.28],0.0187067682179093,0.8691805417452428,[-0.2   0.24],82.0
Cz_beta_spectral_entropy,-0.138080176206076,0.22191571671556057,[-0.35  0.08],-0.13814035902139815,0.22171236971337202,[-0.35  0.08],82.0
Cz_beta_spectral_flatness,-0.14553070378949368,0.19772873276164757,[-0.35  0.08],-0.13936335994899265,0.21760839921371586,[-0.35  0.08],82.0
Cz_beta_spectral_edge_frequency,,,,,,,82.0
Cz_beta_spectral_diff,-0.06065419552522675,0.5930220499025107,[-0.28  0.16],-0.08115117322922387,0.47424082117670574,[-0.3   0.14],82.0
Cz_lowgamma_relative_power,-0.19234969604370877,0.08738565026872491,[-0.4   0.03],-0.09636077802286686,0.3951619627467742,[-0.31  0.13],82.0
Cz_lowgamma_spectral_entropy,-0.20842408087509898,0.06355432975376084,[-0.41  0.01],-0.25385686891987386,0.023075117175445827,[-0.45 -0.04],82.0
Cz_lowgamma_spectral_flatness,-0.21180453198591198,0.05928407006264148,[-0.41  0.01],-0.26300790572276284,0.018420757875732267,[-0.46 -0.05],82.0
Cz_lowgamma_spectral_edge_frequency,,,,,,,82.0
Cz_lowgamma_spectral_diff,0.27517438848238773,0.013496544072110258,[0.06 0.47],0.2728416359777922,0.014340765000059555,[0.06 0.46],82.0
F3_delta_relative_power,0.038036577581472844,0.737642924555512,[-0.18  0.26],0.10842947079543584,0.3383726750629773,[-0.11  0.32],82.0
F3_delta_spectral_entropy,0.01001259270691214,0.9297589892169031,[-0.21  0.23],0.03884138355885812,0.7322987156940509,[-0.18  0.26],82.0
F3_delta_spectral_flatness,0.01340963068876967,0.9060224962550356,[-0.21  0.23],0.03843963396933913,0.7349649083705454,[-0.18  0.26],82.0
F3_delta_spectral_edge_frequency,,,,,,,82.0
F3_delta_spectral_diff,0.03303234211305202,0.7711433406745162,[-0.19  0.25],0.062293114413124975,0.5830527109713762,[-0.16  0.28],82.0
F3_theta_relative_power,0.04261433465071366,0.7074180570946443,[-0.18  0.26],0.055984859116057495,0.6218359685793517,[-0.17  0.27],82.0
F3_theta_spectral_entropy,0.0804355566214368,0.478160014199696,[-0.14  0.29],0.08461773162632392,0.4555029411709429,[-0.14  0.3 ],82.0
F3_theta_spectral_flatness,0.0793354698981547,0.4842185217521413,[-0.14  0.29],0.08325132897663316,0.4628395667651599,[-0.14  0.3 ],82.0
F3_theta_spectral_edge_frequency,,,,,,,82.0
F3_theta_spectral_diff,0.0011233058205687445,0.9921098274766618,[-0.22  0.22],0.07199948593755136,0.5256422725125658,[-0.15  0.29],82.0
F3_lowalpha_relative_power,0.09397105401668869,0.4070414500780649,[-0.13  0.31],0.050025956532247604,0.6594448812239163,[-0.17  0.27],82.0
F3_lowalpha_spectral_entropy,-0.025237223387681154,0.824149379197092,[-0.24  0.2 ],-0.005715831570557022,0.9598675975652837,[-0.23  0.21],82.0
F3_lowalpha_spectral_flatness,-0.024906100053985393,0.8264203319593084,[-0.24  0.2 ],-0.008199463942560306,0.9424545265926254,[-0.23  0.21],82.0
F3_lowalpha_spectral_edge_frequency,,,,,,,82.0
F3_lowalpha_spectral_diff,0.10405922640552454,0.3583139049944044,[-0.12  0.32],0.00045607723785111786,0.9967964413085284,[-0.22  0.22],82.0
F3_highalpha_relative_power,0.05050584027031288,0.6563830554141539,[-0.17  0.27],-0.020572491833333532,0.8562662280712517,[-0.24  0.2 ],82.0
F3_highalpha_spectral_entropy,0.10940749913440108,0.33400756792353925,[-0.11  0.32],0.10183604787871603,0.36873061400450824,[-0.12  0.31],82.0
F3_highalpha_spectral_flatness,0.10841672963193029,0.3384297769948309,[-0.11  0.32],0.09849791848601354,0.38471422606946726,[-0.12  0.31],82.0
F3_highalpha_spectral_edge_frequency,,,,,,,82.0
F3_highalpha_spectral_diff,0.07268860732527811,0.5216768283244326,[-0.15  0.29],0.051279799862762834,0.651456844172728,[-0.17  0.27],82.0
F3_beta_relative_power,0.0023905614658237878,0.9832094891533094,[-0.22  0.22],-0.06333623455339607,0.5767477335725908,[-0.28  0.16],82.0
F3_beta_spectral_entropy,-0.0326115506263502,0.7739804365292049,[-0.25  0.19],-0.11363179890530566,0.31556516919378785,[-0.33  0.11],82.0
F3_beta_spectral_flatness,-0.030214718524251432,0.7901960197212821,[-0.25  0.19],-0.11004175496568985,0.3311958999328629,[-0.32  0.11],82.0
F3_beta_spectral_edge_frequency,,,,,,,82.0
F3_beta_spectral_diff,-0.049415537447643924,0.6633476623479566,[-0.27  0.17],-0.07168657943009951,0.5274478221835115,[-0.29  0.15],82.0
F3_lowgamma_relative_power,-0.15282770989205643,0.17593288133716722,[-0.36  0.07],-0.11647138839471523,0.303544140054398,[-0.33  0.11],82.0
F3_lowgamma_spectral_entropy,0.016958225858832925,0.8813149517993175,[-0.2   0.24],-0.001442109666649896,0.9898706336379941,[-0.22  0.22],82.0
F3_lowgamma_spectral_flatness,0.021676365044951323,0.8486428588776818,[-0.2   0.24],0.00018487553783477464,0.9987014021070038,[-0.22  0.22],82.0
F3_lowgamma_spectral_edge_frequency,,,,,,,82.0
F3_lowgamma_spectral_diff,0.04761141157431417,0.6749346776600662,[-0.17  0.26],0.024861306034033293,0.8267276538874521,[-0.2   0.24],82.0
F4_delta_relative_power,0.08246588109042811,0.4670859403787385,[-0.14  0.3 ],0.030395186052027214,0.788971879613217,[-0.19  0.25],82.0
F4_delta_spectral_entropy,0.17161839963935563,0.1279688552303407,[-0.05  0.38],0.024272042181388124,0.8307728701016363,[-0.2   0.24],82.0
F4_delta_spectral_flatness,0.16900999687104976,0.13395565549003394,[-0.05  0.37],0.023730477499460688,0.8344945224710557,[-0.2   0.24],82.0
F4_delta_spectral_edge_frequency,,,,,,,82.0
F4_delta_spectral_diff,0.10287044969952727,0.36386114195571395,[-0.12  0.32],0.1281912563767899,0.25712406183586073,[-0.09  0.34],82.0
F4_theta_relative_power,0.08808936679760826,0.43715456059668,[-0.13  0.3 ],-0.07870755262673086,0.4876948594908631,[-0.29  0.14],82.0
F4_theta_spectral_entropy,0.12216123591002748,0.28036672491528375,[-0.1   0.33],0.02549548577020255,0.82237913137224,[-0.2   0.24],82.0
F4_theta_spectral_flatness,0.12154173766652392,0.28283141560567704,[-0.1   0.33],0.02432358650303094,0.830418848173401,[-0.2   0.24],82.0
F4_theta_spectral_edge_frequency,,,,,,,82.0
F4_theta_spectral_diff,-0.07830721086809395,0.48991814655042876,[-0.29  0.14],0.030679411843857952,0.7870449672264855,[-0.19  0.25],82.0
F4_lowalpha_relative_power,0.09329304227243561,0.4104495448693697,[-0.13  0.31],0.03937283464272872,0.7287766322093501,[-0.18  0.26],82.0
F4_lowalpha_spectral_entropy,-0.026126806770624615,0.8180555184655458,[-0.24  0.19],-0.02672077672125163,0.8139926513648376,[-0.24  0.19],82.0
F4_lowalpha_spectral_flatness,-0.026372119528086033,0.8163769451946408,[-0.24  0.19],-0.028801224274817436,0.7998013207686087,[-0.25  0.19],82.0
F4_lowalpha_spectral_edge_frequency,,,,,,,82.0
F4_lowalpha_spectral_diff,0.07370069303614657,0.5158804188967128,[-0.15  0.29],-0.028219071202390388,0.8037660402831786,[-0.25  0.19],82.0
F4_highalpha_relative_power,0.08436437626225776,0.45685841461055765,[-0.14  0.3 ],-0.10814754383143373,0.3396376018651347,[-0.32  0.11],82.0
F4_highalpha_spectral_entropy,0.016516896774261432,0.884382092991365,[-0.2   0.24],-0.1336580098641502,0.23721737304721072,[-0.34  0.09],82.0
F4_highalpha_spectral_flatness,0.019575215375157006,0.8631647843546795,[-0.2   0.24],-0.12772609502342505,0.2588688745094187,[-0.34  0.09],82.0
F4_highalpha_spectral_edge_frequency,,,,,,,82.0
